Time,CPU_usec_used,Memory_Bytes,Energy_uJ,inference_time_ms
1751209756,6554,2560000,65560729930,82.8744679965894
1751209757,316831,72347648,65569023732,3.11735700233839
1751209758,619858,139706368,65576158784,3.08147400210146
1751209759,923177,173551616,65582492997,2.84449799801223
1751209760,1231604,194654208,65589579954,2.70686199655756
1751209761,1532057,242679808,65597217751,2.68382299691439
1751209762,1831968,294232064,65604553548,81.3347439980134
1751209763,2144533,341782528,65611805544,3.17584499862278
1751209764,2452255,374943744,65617832139,3.58508800127311
1751209765,2752287,413634560,65623798494,3.29380900075193
1751209766,3061251,438652928,65630694472,2.87993000529241
1751209767,3323930,518680576,65637696346,2.68840199714759
1751209768,3416376,535048192,65642492050,77.6566029962851
1751209769,3715934,583909376,65652906757,3.84800600295421
1751209770,4025365,631549952,65660361633,3.98163500358351
1751209771,4334256,711225344,65667918864,2.90868800220778
1751209772,4645121,762970112,65674829857,2.96518199320417
1751209773,4945832,819064832,65680778267,2.9146699962439
1751209774,5246427,871821312,65687019951,3.38885600649519
1751209775,5546528,908779520,65693366187,78.4422180004185
1751209776,5846058,939851776,65699837728,3.45870200544596
1751209777,6145985,975675392,65707098818,2.88336200173944
1751209778,6461911,1018806272,65714255232,3.92789200122934
1751209779,6770304,1050116096,65721365627,2.92032300058054
1751209780,7075988,1073594368,65728759102,3.5233029993833
1751209781,7376605,1073623040,65735731252,3.37616999604506
1751209782,7676198,1073741824,65743423493,2.74632400396513
1751209783,7975985,1073397760,65751176403,80.1838089973899
1751209784,8275821,1069400064,65759669545,7.01322999520926
1751209785,8584829,1073192960,65768213285,3.87452200084226
1751209786,8896534,1066209280,65775988839,3.5632400031318
1751209787,9203633,1065406464,65784213977,2.93895300274016
1751209788,9503694,1072607232,65792026396,76.1496929990244
1751209789,9806081,1073709056,65799153758,5.3066359978402
1751209790,10105821,1073422336,65806652396,3.43060700106435
1751209791,10406184,1073479680,65814047763,3.02145599562209
1751209793,10708259,1073565696,65821154739,3.35763199836947
1751209794,11020758,1067544576,65829139094,3.25440699816681
1751209795,11328625,1067638784,65836905981,3.16023400228005
