Time,CPU_usec_used,Memory_Bytes,Energy_uJ,inference_time_sec
1751239610,12575,2797568,234652963923,0.223168134689331
1751239611,647306,147759104,234666743856,0.254631757736206
1751239612,1256237,219549696,234679520800,0.210927724838257
1751239613,1860893,292847616,234692656570,0.208573341369629
1751239614,2460238,317145088,234706416117,0.208105564117432
1751239615,3060281,320487424,234719797370,0.20920729637146
1751239616,3660114,324190208,234733068820,0.257620334625244
1751239617,4270035,327389184,234746994261,0.209530353546143
1751239618,4877720,331202560,234760872399,0.211018800735474
1751239619,5486503,333824000,234774916064,0.213079690933228
1751239620,6096405,339415040,234789122754,0.253296613693237
1751239621,6685743,342757376,234802840187,0.208802938461304
1751239622,7313324,348139520,234817443238,0.209739208221436
1751239623,7920258,354193408,234831703638,0.209362030029297
1751239624,8520553,360157184,234845438772,0.210171699523926
1751239625,9120987,365297664,234859049821,0.253941297531128
1751239626,9720527,369332224,234872766277,0.209732294082642
1751239627,10321233,374923264,234886321418,0.209413766860962
1751239628,10931898,379580416,234899818149,0.208625793457031
1751239629,11541201,370909184,234913407042,0.209764957427979
1751239630,12150034,376901632,234926999903,0.207565784454346
1751239631,12758621,383184896,234941140126,0.213375091552734
1751239632,13368231,388378624,234954860367,0.209164142608643
1751239633,13976556,393568256,234968293132,0.210531711578369
1751239634,14580139,397053952,234981784797,0.208322286605835
1751239635,15180337,402726912,234994530431,0.207098960876465
1751239636,15780672,403615744,235007916139,0.254241704940796
1751239637,16380173,403828736,235021246183,0.211913824081421
1751239638,16990154,404013056,235034891045,0.207785606384277
1751239639,17598493,404152320,235048462422,0.209418535232544
1751239640,18208237,404086784,235062279647,0.208611726760864
1751239641,18816820,404770816,235076178354,0.253048419952393
1751239642,19425067,405037056,235089586462,0.208598136901855
1751239643,20034172,406888448,235102775088,0.211695671081543
1751239644,20640035,407343104,235115980193,0.21209979057312
1751239645,21240528,362049536,235129209163,0.210663795471191
1751239646,21840755,366325760,235143330038,0.210156202316284
1751239647,22440138,370147328,235156795824,0.208371162414551
1751239648,23048385,374042624,235170285901,0.209450244903564
1751239649,23656066,377552896,235183852822,0.209983587265015
1751239650,24265070,385363968,235197194951,0.210062980651855
1751239651,24873120,389902336,235210619477,0.25371527671814
1751239652,25480485,396349440,235223874326,0.20988130569458
1751239653,26090170,402792448,235237381982,0.210796356201172
1751239654,26698994,408625152,235250818166,0.210564851760864
1751239655,27300682,412553216,235264142717,0.251921415328979
1751239656,27900506,418111488,235277668134,0.212406158447266
1751239657,28500824,422043648,235290878732,0.212228536605835
1751239658,29100711,427847680,235304117224,0.210817098617554
1751239659,29712413,433451008,235317484316,0.209643125534058
1751239660,30320371,440037376,235330646636,0.257568120956421
1751239661,30929094,410238976,235344213191,0.210468530654907
1751239662,31538130,417157120,235357858541,0.209850072860718
1751239663,32146926,422318080,235371202257,0.210991144180298
1751239664,32754575,426946560,235384631056,0.206940412521362
1751239665,33360081,432590848,235398111246,0.20918869972229
1751239666,33960110,438403072,235411538946,0.209026575088501
1751239667,34560924,444510208,235424702303,0.207466602325439
1751239668,35160065,449851392,235438021605,0.229007482528687
1751239669,35767418,454103040,235450907681,0.186819553375244
1751239670,36375396,455012352,235464217766,0.207233428955078
1751239672,36983703,455032832,235477675556,0.213053941726685
1751239673,37591647,455114752,235490779527,0.209416151046753
1751239674,38201234,455344128,235503957472,0.206853866577148
1751239675,38809886,455553024,235517031718,0.211189746856689
1751239676,39417535,455647232,235530359992,0.209339380264282
1751239677,40020102,455909376,235543715915,0.212285280227661
1751239678,40620765,368861184,235556923461,0.210237741470337
1751239679,41220399,371462144,235569853787,0.211954355239868
1751239680,41822661,374460416,235582970758,0.211828947067261
1751239681,42433218,377999360,235596128805,0.256305932998657
1751239682,43041572,380485632,235609177966,0.210262298583984
1751239683,43651397,384348160,235622573013,0.213614463806152
1751239684,44260336,389042176,235636092570,0.210301637649536
1751239685,44868044,392654848,235649434821,0.251062870025635
1751239686,45477854,398618624,235662693821,0.211768388748169
1751239687,46080942,403214336,235675954651,0.209617614746094
1751239688,46680610,409083904,235688988797,0.21246600151062
1751239689,47280434,412696576,235702007868,0.21173620223999
1751239690,47881628,416374784,235715169822,0.256052255630493
1751239691,48494132,419921920,235728542407,0.208981513977051
1751239692,49101689,423260160,235741875197,0.210675716400146
1751239693,49710608,429957120,235755289592,0.210622072219849
1751239694,50319102,432316416,235768713874,0.249707460403442
1751239695,50928120,417665024,235782065646,0.212279319763184
1751239696,51535918,421912576,235795192017,0.208780527114868
1751239697,52140264,425250816,235808364346,0.210146427154541
1751239698,52740197,431284224,235821544061,0.208771467208862
1751239699,53340846,435855360,235834794393,0.252163887023926
1751239700,53940709,441929728,235847937975,0.21194052696228
1751239701,54549651,447381504,235861264479,0.210881471633911
1751239702,55159084,450428928,235874701457,0.210287094116211
1751239703,55767427,456392704,235888132391,0.208638429641724
1751239704,56376878,459870208,235901369235,0.255576848983765
1751239705,56984985,463765504,235913769533,0.21070122718811
1751239706,57594464,465780736,235926915923,0.209405660629272
1751239707,58200943,465674240,235939783687,0.210642099380493
1751239708,58800371,465829888,235952871422,0.210109233856201
1751239709,59400695,466235392,235965949026,0.372073888778687
1751239710,60000037,466178048,235979071734,0.210849761962891
1751239711,60607204,367915008,235992510481,0.211116790771484
1751239712,61216286,371138560,236006024973,0.256295680999756
1751239713,61824923,373620736,236019488867,0.211784839630127
1751239714,62433763,376623104,236032712405,0.211108446121216
1751239715,63043243,380178432,236046092070,0.212608337402344
1751239716,63651735,382763008,236059325984,0.254607439041138
1751239717,64260021,385806336,236072495262,0.210586071014404
1751239718,64860179,388415488,236085877613,0.212147235870361
1751239719,65460665,390860800,236099294449,0.212073087692261
1751239720,66060551,394076160,236112663250,0.25351071357727
1751239721,66664310,397254656,236125918892,0.213154077529907
1751239722,67273776,399867904,236139313145,0.211692571640015
1751239723,67882870,403501056,236152789490,0.211337089538574
1751239724,68492068,406171648,236166009060,0.256836175918579
1751239725,69100487,409718784,236179081109,0.210279226303101
1751239726,69709650,413634560,236192462118,0.211716413497925
1751239727,70319442,412393472,236205856615,0.212047815322876
1751239728,70920914,418295808,236219277967,0.21205735206604
1751239729,71520451,422756352,236232581339,0.256463766098022
1751239730,72120356,427126784,236245820807,0.2104332447052
1751239731,72720929,434196480,236258891208,0.209928274154663
1751239732,73331948,439640064,236271908570,0.210359573364258
1751239733,73939966,443330560,236285409573,0.256839752197266
1751239734,74548665,446353408,236298678460,0.216768741607666
