Time,CPU_usec_used,Memory_Bytes,Energy_uJ,inference_time_ms
1751220581,16333,4104192,135317265159,3.03974500275217
1751220582,322038,60833792,135325163698,1.7216330015799
1751220583,632491,129445888,135332489424,1.68187900271732
1751220584,931722,156745728,135338659025,1.93469799705781
1751220585,1236632,180940800,135346334664,3.50209500174969
1751220586,1536403,219963392,135354108936,72.5152349987184
1751220587,1836810,265687040,135361809722,4.65624500066042
1751220588,2136517,321699840,135369765146,2.42410699866014
1751220589,2448731,362622976,135376907950,1.61336299788672
1751220590,2753608,393605120,135384659639,1.64020900410833
1751220591,3064021,409272320,135391252579,1.60507300461177
1751220592,3105092,468094976,135395015570,1.64243199833436
1751220593,3405957,519811072,135402280627,1.53580100595718
1751220594,3706122,549961728,135409493804,2.67634199553868
1751220595,4012831,635691008,135416809154,1.72533899603877
1751220596,4323148,688078848,135423979607,1.61648199718911
1751220597,4631735,752119808,135431159826,1.49762300134171
1751220598,4936371,807927808,135438034442,77.4021749966778
1751220599,5236104,847597568,135444284792,4.72740400437033
1751220600,5536294,881545216,135451119796,2.74188800540287
1751220601,5836570,917401600,135458471035,2.19079799717292
1751220602,6135795,953384960,135465284738,1.77190300018992
1751220603,6439954,985612288,135471908989,1.74918999982765
1751220604,6754059,1016471552,135479105137,2.57589700049721
1751220605,7062142,1047048192,135486807632,2.09278100373922
1751220606,7366084,1073602560,135493872678,1.63497600442497
1751220607,7665769,1069899776,135501424477,2.29303900414379
1751220608,7965812,1073414144,135509309772,79.9961790035013
1751220609,8266237,1067503616,135517011596,4.44463999883737
1751220610,8566340,1068097536,135524739420,1.80860600084998
1751220611,8870334,1069293568,135532385946,1.61240599845769
1751220612,9181829,1069596672,135544367727,1.97441400086973
1751220613,9491016,1069789184,135552472381,2.02851500216639
1751220614,9796660,1069785088,135559817821,1.81108000106178
1751220615,10095733,1070551040,135567286796,1.61007599672303
1751220616,10396279,1071792128,135573942907,2.49770800292026
1751220617,10696006,1073033216,135580323933,1.69596599880606
1751220618,10996625,1073688576,135587927491,1.67573700309731
1751220619,11304482,1073676288,135595683086,76.465829006338
1751220620,11615619,1073692672,135602915795,1.68794799537864
1751220621,11924171,1071992832,135609565436,1.67925099958666
1751220622,12225724,1072189440,135616245106,1.75728699832689
1751220623,12525765,1072041984,135622839816,1.75820699951146
1751220624,12825724,1072357376,135629083941,1.60714599769562
1751220625,13125978,1072140288,135635639344,2.2962209986872
1751220626,13425882,1072320512,135642378218,2.18732099892804
1751220627,13738143,1072578560,135650177759,2.17749200237449
1751220628,14046503,1072627712,135657514410,1.72795700200368
1751220629,14355641,1072398336,135664473865,1.60924900410464
1751220630,14655933,1072488448,135671677948,2.05632599681849
1751220632,14956376,1072758784,135679253429,1.53422600124031
1751220633,15256038,1072955392,135686392571,1.49478100502165
1751220634,15555767,1072750592,135693147741,77.942431998963
1751220635,15856682,1073152000,135700164264,4.67115600622492
1751220636,16169282,1073291264,135707947813,2.13314800203079
1751220637,16478527,1073344512,135715376261,1.61239899898646
1751220638,16785953,1073246208,135722414817,1.51298000128008
1751220639,17086412,1073459200,135729514836,1.55329699919093
1751220640,17386267,1073340416,135737230697,1.64073100313544
1751220641,17686296,1073414144,135745410303,1.76877200283343
1751220642,17986229,1073451008,135753518131,1.59646399697522
1751220643,18289553,1073598464,135761227279,1.63395299750846
1751220644,18603067,1073307648,135768788661,1.98093400103971
1751220645,18912121,1073438720,135776150947,1.56161400082055
1751220646,19215940,1073299456,135783767443,79.9834479985293
1751220647,19515899,1073430528,135791428312,4.36222899588756
1751220648,19816389,1073672192,135799560311,2.06493799487362
1751220649,20116538,1073577984,135806943776,1.64045299607096
1751220650,20416660,1073643520,135814987578,1.98711099801585
1751220651,20680294,1073053696,135821146742,1.92150700604543
1751220652,20846260,356339712,135826079347,1.68893099908018
1751220653,21141007,324571136,135832705306,1.59280099614989
1751220654,21440794,328851456,135838707549,1.63558799977181
,,,,2.35433100169757
,,,,75.98050100205
,,,,2.07901599787874
,,,,2.13996700040298
,,,,1.73878300120123
,,,,1.73128500318853
,,,,1.74824900022941
,,,,1.60763399617281
,,,,1.59696299670031
,,,,1.81759199767839
,,,,1.77018700196641
,,,,1.87808700138703
,,,,2.34436900063884
,,,,1.55645400081994
,,,,1.52975800301647
,,,,77.4055560032139
,,,,1.66055600129766
,,,,1.6315239990945
,,,,1.81381800211966
,,,,1.81625600089319
,,,,1.61827199917752
,,,,1.5491540034418
,,,,1.58120799460448
,,,,1.57447099627461
,,,,1.61771599960048
,,,,1.95701200573239
,,,,1.73678400460631
,,,,1.80419500247808
,,,,1.66597699717386
,,,,1.54324300092412
,,,,79.4411189999664
,,,,4.23594900348689
,,,,2.30920300236903
,,,,1.53625500388443
,,,,1.67211100051645
,,,,2.02136800362496
,,,,1.70139600231778
,,,,1.76765699870884
,,,,1.80053999793017
,,,,1.62525400082814
,,,,1.98155700491043
,,,,82.5188539965893
,,,,3.26242400478804
,,,,1.8394150029053
,,,,2.05895199906081
,,,,1.97861000197008
,,,,1.69905099755852
,,,,1.62174300203333
,,,,1.62831600027857
,,,,1.51239600381814
,,,,1.60023300122703
,,,,79.0577389998362
,,,,4.61387600080343
,,,,2.13031999737723
,,,,1.68228299298789
,,,,1.68461300199851
,,,,1.70259100559633
,,,,1.57178600056795
,,,,1.58005900448188
,,,,1.65096900309436
,,,,1.63269299810054
,,,,1.56872500519967
,,,,1.56964699999662
,,,,75.6651810006588
,,,,2.15229699824704
,,,,1.60869499813998
,,,,1.82306200440507
,,,,2.44614300027024
,,,,1.80549200013047
,,,,2.37329000083264
,,,,1.78448000224307
,,,,1.91983700642595
,,,,1.99615999736125
,,,,1.90392599324696
,,,,2.59358499897644
,,,,75.7248049994814
,,,,4.76608699682402
,,,,4.19176600553328
,,,,2.55803599429782
,,,,1.63505900127348
,,,,2.38323099620175
,,,,1.74988200160442
,,,,1.80626200017286
,,,,1.62396299856482
,,,,2.04447700525634
,,,,1.70956099464092
,,,,1.70380800409475
,,,,76.5349799985415
,,,,2.91250199370552
,,,,1.94448099500733
,,,,1.75647099968046
,,,,1.59523600450484
,,,,2.95379099407
,,,,1.99686199630378
,,,,2.14087600033963
,,,,1.79881499934709
,,,,1.56387600145536
,,,,1.64116799714975
,,,,1.60723099543247
,,,,73.9427700027591
,,,,7.31251099932706
,,,,3.57372999860672
,,,,2.02738000371028
,,,,2.03619500098284
,,,,1.71197800227674
,,,,1.61579200357664
,,,,1.59631399583304
,,,,1.65288399875863
,,,,1.66686099692015
,,,,1.72060800105101
,,,,1.533885995741
,,,,75.047951999295
,,,,6.01506199745927
,,,,3.53455600270536
,,,,1.85579599929042
,,,,1.92322899965802
,,,,2.01116700191051
,,,,1.97046000539558
,,,,1.67999599943869
,,,,1.5728959988337
,,,,1.64112399943406
,,,,1.849984000728
,,,,77.2558829994523
,,,,1.61887699505314
,,,,1.97743299941067
,,,,1.58299500617431
,,,,1.61484400450718
,,,,1.78367299668025
,,,,1.54358500003582
,,,,1.48966500273673
,,,,1.94960000226274
,,,,1.64042999676894
,,,,1.57937999756541
,,,,2.16931799513986
,,,,1.61362200014992
,,,,1.65956900309538
,,,,1.57502300135093
,,,,77.7455610004836
,,,,5.00128400017275
,,,,2.65902800310869
,,,,1.69294299848843
,,,,2.01596099941526
,,,,1.78869000228588
,,,,1.79871699947398
,,,,1.85660699935397
,,,,1.93125499936286
,,,,1.78887099900749
,,,,1.72905700310366
,,,,77.5904870024533
,,,,5.19698500283994
,,,,2.66781500249635
,,,,1.73380400519818
,,,,1.59144600183936
,,,,1.57979300274747
,,,,2.66210200061323
,,,,1.82579599641031
,,,,1.68088600185001
,,,,1.86680899787461
,,,,76.0083850036608
,,,,7.25652300025104
,,,,2.64077899919357
,,,,2.46662199788261
,,,,1.6961099972832
,,,,2.19859599746997
,,,,2.72032400243916
,,,,1.65536200074712
,,,,1.7256310020457
,,,,1.95142900338396
,,,,1.60291000065627
,,,,75.579470001685
,,,,1.7535460065119
,,,,1.81009899824858
,,,,1.6217950033024
,,,,1.84708899905672
,,,,1.7581789943506
,,,,1.7011019954225
,,,,1.62619299953803
,,,,1.67533900093986
,,,,1.83529499918222
,,,,2.40575500356499
,,,,1.77005900332006
,,,,1.85188199975528
,,,,1.753001997713
,,,,73.9433780036052
,,,,6.14046799455537
,,,,3.56819299486233
,,,,2.06776099366834
,,,,2.2676419976051
,,,,1.78250399767421
,,,,1.81161100044847
,,,,1.81454000266967
,,,,2.31367100059288
,,,,1.75602799572516
,,,,2.43273500382202
,,,,79.0198019967647
,,,,6.31921700551175
,,,,2.12666599691147
,,,,1.8436960017425
,,,,2.01968799956376
,,,,1.63258800603217
,,,,1.96397599938791
,,,,2.15826000203378
,,,,1.6174949996639
,,,,1.56832300126553
,,,,75.5586279992713
,,,,6.48086100409273
,,,,3.36252099805279
,,,,1.75319099798799
,,,,2.58970000140835
,,,,2.54029499774333
,,,,1.61048000154551
,,,,1.58995400124695
,,,,2.11239499913063
,,,,1.57444500655402
,,,,1.55811900185654
,,,,79.6162910046405
,,,,4.15122599952156
,,,,1.93217299965909
,,,,1.51380500028608
,,,,1.55209899821784
,,,,1.58547699538758
,,,,1.61822100199061
,,,,1.64738300372846
,,,,1.51239200204145
,,,,1.97258200205397
,,,,1.61205200129189
,,,,1.51561800157651
,,,,80.3655350027839
,,,,3.65830300142989
,,,,1.97518700588262
,,,,1.58313399879262
,,,,1.99797799723456
,,,,1.9107289990643
,,,,1.57201499678195
,,,,1.65777899383102
,,,,2.0205450055073
,,,,1.9852909972542
,,,,75.2629519993207
,,,,2.80329999804962
,,,,2.46666699968046
,,,,2.10795799648622
,,,,1.80139300209703
,,,,1.87425599870039
,,,,1.85682199662551
,,,,1.83431800542166
,,,,1.83970999933081
,,,,2.10866700217593
,,,,2.34303299657768
,,,,2.09365299815545
,,,,1.54889200348407
,,,,72.3587440006668
,,,,3.0510190044879
,,,,2.65218799904687
,,,,1.81822800368536
,,,,1.76976600050693
,,,,2.43635299557354
,,,,1.88420199992834
,,,,1.79976000072202
,,,,1.7656909985817
,,,,1.76451299921609
,,,,2.07449399749748
,,,,1.81914400309324
,,,,1.93348399625393
,,,,2.27955399896018
,,,,1.76961199758807
,,,,72.4735379990307
,,,,1.83036400267156
,,,,1.89008599409135
,,,,1.79496700002346
,,,,1.73351199919125
,,,,2.04638399736723
,,,,1.82821100315778
,,,,1.83008400199469
,,,,1.75444599881303
,,,,1.74875000084285
,,,,2.38267600070685
,,,,1.8944260009448
,,,,1.72168199787848
,,,,1.8644809970283
,,,,1.75321500137215
,,,,75.4968870023731
,,,,3.44338400464039
,,,,2.48353999631945
,,,,1.96905199845787
,,,,1.58971400378505
,,,,1.65710400324315
,,,,1.58358400221914
,,,,1.61636900156736
,,,,2.08729600126389
,,,,2.22168899927055
,,,,1.63802099996246
,,,,1.79990100150462
,,,,1.7862810054794
,,,,2.23245099914493
,,,,1.93777700042119
,,,,75.0256399987848
,,,,4.77881899860222
,,,,2.49328600330045
,,,,1.65512599778594
,,,,1.51231400377583
,,,,1.58699799794704
,,,,1.94239400298102
,,,,2.06084200181067
,,,,1.80811899917899
,,,,1.8242790029035
,,,,1.77754700416699
,,,,77.1853010010091
,,,,1.68235800083494
,,,,1.65251300495584
,,,,1.67282100301236
,,,,1.69003400515066
,,,,1.68365800345782
,,,,2.25106599827996
,,,,1.66503000218654
,,,,1.57033600407885
,,,,1.80898999678902
,,,,1.84534900472499
,,,,2.02017499395879
,,,,2.75671199779026
,,,,1.66601700038882
,,,,76.5696129965363
,,,,4.53206800011685
,,,,2.76048800151329
,,,,1.61537799431244
,,,,1.52902600530069
,,,,2.17907899786951
,,,,1.58774100418668
,,,,1.748791000864
,,,,1.58993399963947
,,,,1.88621100096498
,,,,1.59560899919597
,,,,1.53362099808874
,,,,76.5279789993656
,,,,6.46306300041033
,,,,2.60556300054304
,,,,1.61082499835175
,,,,2.57331199827604
,,,,2.51935300184414
,,,,1.73971299955156
,,,,1.5380440017907
,,,,1.59913900279207
,,,,1.68614800350042
,,,,1.57415600551758
,,,,76.1294879994239
,,,,4.92599399876781
,,,,2.69176199799404
,,,,1.6695520025678
,,,,1.51357700087829
,,,,1.49171199882403
,,,,1.60119700012729
,,,,1.76132199703716
,,,,1.6879169997992
,,,,1.5340429963544
,,,,1.58239599841181
,,,,1.56371699995361
,,,,1.58362899674103
,,,,73.9176990027772
,,,,2.85539700416848
,,,,1.58645599731244
,,,,1.56609600526281
,,,,2.36032400425756
,,,,1.58143899898278
,,,,1.56107799557503
,,,,1.51788000221131
,,,,1.52591000369284
,,,,2.21624400001019
,,,,1.86954400123796
,,,,1.59618999896338
,,,,1.52761099889176
,,,,1.58597999688936
,,,,1.96026000048732
,,,,76.9755419969442
,,,,4.87251199956518
,,,,3.19542799843475
,,,,1.63346800400177
,,,,1.48971400631126
,,,,1.51046300015878
,,,,1.52429700392531
,,,,1.72674700297648
,,,,1.59204000374302
,,,,1.9752910011448
,,,,1.57621800462948
,,,,1.59365400031675
,,,,1.47821199789178
,,,,76.2447239976609
,,,,1.61475099594099
,,,,1.56449600035558
,,,,1.59625100059202
,,,,1.76359699980821
,,,,1.94168999587419
,,,,1.54675199883059
,,,,1.52717400487745
,,,,1.49969300400699
,,,,1.48537699715234
,,,,1.70388200058369
,,,,1.54453800496412
,,,,1.52343499939889
,,,,1.56419500126503
,,,,1.58365000243066
,,,,72.7053390000947
,,,,5.44774399895687
,,,,3.85525500314543
,,,,2.59321799967438
,,,,2.0980490007787
,,,,1.51819200254977
,,,,1.55057599477004
,,,,1.52583699673414
,,,,2.01219800510444
,,,,1.64136799867265
,,,,1.54743800521828
,,,,1.58998699771473
,,,,1.54923400259577
,,,,73.6160369997378
,,,,4.87394600349944
,,,,1.67220800358336
,,,,1.59614499716554
,,,,1.69215699861525
,,,,1.76147399906768
,,,,2.14955700357677
,,,,1.65446099708788
,,,,1.56428299669642
,,,,1.98081800044747
,,,,2.12724300217815
,,,,1.64504800341092
,,,,1.60316399706062
,,,,1.59305100532947
,,,,1.59844999870984
,,,,80.220345997077
,,,,3.97420800436521
,,,,2.28477199561894
,,,,1.83647499943618
,,,,1.53166499512736
,,,,1.59456000255886
,,,,1.7580089988769
,,,,1.77502699807519
,,,,1.84774099761853
,,,,1.8374240025878
,,,,78.2569889997831
,,,,5.0042270013364
,,,,2.77421999635408
,,,,2.20128500222927
,,,,2.06008300301619
,,,,1.68468600168126
,,,,1.84518000605749
,,,,1.79763299820479
,,,,1.85820899787359
,,,,1.82036000478547
,,,,2.46914200397441
,,,,76.2774899994838
,,,,4.55048300500494
,,,,2.34669799829135
,,,,2.02247099514352
,,,,1.55652799730888
,,,,2.66543200268643
,,,,1.54872900020564
,,,,1.67852100275923
,,,,1.68396800290793
,,,,1.98778600315563
,,,,1.68386400036979
,,,,1.64673899416812
,,,,79.245473993069
,,,,4.05075600428972
,,,,2.27142699441174
,,,,2.65847500122618
,,,,2.85359899862669
,,,,1.75305399898207
,,,,1.78935399890179
,,,,1.77408599847695
,,,,1.63293399964459
,,,,75.6524300013552
,,,,3.26746399514377
,,,,1.6505719977431
,,,,1.67363400396425
,,,,1.83014999493025
,,,,1.72612199821742
,,,,1.6955710016191
,,,,1.71122399478918
,,,,1.68631999986246
,,,,2.2037509988877
,,,,1.89587700151606
,,,,1.79893000313314
,,,,1.81208400317701
,,,,1.79111599572934
,,,,1.71924899768783
,,,,79.6768689979217
,,,,3.9159789957921
,,,,1.96739599778084
,,,,1.74398899980588
,,,,1.56847200560151
,,,,2.85710499883862
,,,,1.95090499619255
,,,,1.7949720058823
,,,,2.18891699478263
,,,,1.79453699820442
,,,,77.8477839994594
,,,,5.15221400564769
,,,,2.18076199962525
,,,,1.62907000049017
,,,,1.65285300317919
,,,,1.57356099953176
,,,,1.6495749950991
,,,,2.23558900324861
,,,,2.36427599884337
,,,,1.80599099985557
,,,,74.6261610038346
,,,,3.89314999483759
,,,,1.75601500086486
,,,,1.68582999322098
,,,,1.78709500323748
,,,,1.76000200008275
,,,,1.63697300013155
,,,,1.61528999888105
,,,,1.72719600232085
,,,,1.71943400346208
,,,,1.868019993708
,,,,2.20912399527151
,,,,1.73007400007918
,,,,1.78020799648948
,,,,1.81680700188736
,,,,75.4128370026592
,,,,4.61706599890022
,,,,3.15463600418298
,,,,1.88209399493644
,,,,1.66218900267268
,,,,1.57235000369838
,,,,1.67871799931163
,,,,2.11171500268392
,,,,2.16988399915863
,,,,1.63617899670498
,,,,1.61627699708333
,,,,1.6231709960266
,,,,74.7035880049225
,,,,6.15734000166412
,,,,3.24489099875791
,,,,2.01007800205844
,,,,1.65652999567101
,,,,1.596141999471
,,,,1.92208000225946
,,,,1.96778400277253
,,,,1.82506299461238
,,,,1.98532799549866
,,,,1.6104379974422
,,,,1.59051700029522
,,,,72.7830600008019
,,,,2.6319919998059
,,,,2.16138899850193
,,,,1.88109299779171
,,,,1.55993799853604
,,,,1.64114299695939
,,,,1.82331399992108
,,,,1.5438170012203
,,,,1.52510699990671
,,,,1.55535900557879
,,,,1.62371899932623
,,,,1.52117900142912
,,,,1.56819500261918
,,,,1.81403099850286
,,,,2.79208699794253
,,,,1.82890499854693
,,,,74.8183620016789
,,,,2.75288800185081
,,,,2.1847020034329
,,,,1.80668599932687
,,,,2.37506700068479
,,,,1.67273000261048
,,,,2.05703200481366
,,,,1.7170079954667
,,,,1.63662400154863
,,,,2.29444599972339
,,,,1.87176200415706
,,,,1.67648799833842
,,,,77.6512640004512
,,,,9.27887300349539
,,,,2.90512499486795
,,,,1.62121200264664
,,,,2.20741500379518
,,,,1.62086400086992
,,,,1.67125100415433
,,,,1.90511000255356
,,,,2.34086000273237
,,,,2.27530800475506
,,,,80.1356259980821
,,,,4.1905769976438
,,,,2.0618700000341
,,,,2.35115899704397
,,,,2.28470000001835
,,,,1.65587900119135
,,,,1.71128700458212
,,,,1.54275000386406
,,,,1.5941100064083
,,,,1.99512800463708
,,,,74.3390649950015
,,,,3.04210299509577
,,,,1.53603799844859
,,,,1.58117099636002
,,,,1.63955700554652
,,,,1.68724000104703
,,,,1.51941100193653
,,,,1.53532900003484
,,,,1.49509599577868
,,,,1.48013199941488
,,,,1.55057699885219
,,,,1.66806399647612
,,,,1.64073600171832
,,,,1.56065099872649
,,,,1.53539099846967
,,,,1.64254099945538
,,,,74.9592189968098
,,,,4.69861099554691
,,,,3.77827899501426
,,,,2.32142100139754
,,,,1.60756999684963
,,,,1.52405900007579
,,,,1.82624899753137
,,,,1.92910899932031
,,,,1.82861700159265
,,,,1.56142700143391
,,,,1.56870799401077
,,,,1.96418399718823
,,,,76.0283019990311
,,,,2.6011530062533
,,,,2.02180399355711
,,,,1.6501449936186
,,,,1.71944999601692
,,,,1.74968899955275
,,,,1.57462600327563
,,,,1.95738599722972
,,,,1.74057899857871
,,,,1.77963700116379
,,,,1.77275799796917
,,,,2.20360000093933
,,,,1.89294300071197
,,,,1.57586199929938
,,,,74.1793130000588
,,,,3.62558199412888
,,,,1.56164000509307
,,,,1.70509600138757
,,,,1.72509099502349
,,,,1.6563210010645
,,,,1.53410200437065
,,,,1.56087899813429
,,,,1.50049500371097
,,,,1.49663900083397
,,,,1.51954000466503
,,,,1.71963200409664
,,,,1.53639900236158
,,,,1.49662599869771
,,,,1.56230200082064
,,,,1.53056799899787
,,,,1.5300350059988
,,,,5.80018199980259
,,,,4.14146000548499
,,,,2.0673489998444
,,,,1.62210200505797
,,,,1.70596300449688
,,,,1.55579299462261
,,,,1.61859699437628
,,,,2.27992200234439
,,,,1.66242200066336
,,,,1.59124100173358
,,,,1.81665800482733
,,,,2.16488399746595
,,,,77.383000003465
,,,,4.54627099679783
,,,,2.3581909990753
,,,,1.62265499966452
,,,,1.71079899882898
,,,,1.56144799984759
,,,,1.91516800259706
,,,,2.06679300026735
,,,,1.55219300359022
,,,,1.47967600059928
,,,,1.55615700350609
,,,,1.57523700181628
,,,,74.3530069958069
,,,,6.10106399835786
,,,,3.45930000185035
,,,,1.65106300119078
,,,,1.58200199803105
,,,,1.51744500180939
,,,,1.51879199984251
,,,,1.57967599807307
,,,,1.56491300003836
,,,,1.67798999609659
,,,,1.5121759934118
,,,,1.61130799824605
,,,,1.56918200082146
,,,,82.0792189988424
,,,,4.0525250005885
,,,,2.21437700383831
,,,,1.67148900072789
,,,,1.57963099627523
,,,,1.57671100168955
,,,,1.68359900271753
,,,,1.68853299692273
,,,,1.63661800615955
,,,,2.38780800282257
,,,,75.3844770006253
,,,,2.13960900146049
,,,,1.64620100258617
,,,,1.67449300352018
,,,,2.50891500036232
,,,,2.43290799699025
,,,,1.60646199947223
,,,,1.82825599767966
,,,,1.92849500308512
,,,,1.61251100507798
,,,,1.73298699519364
,,,,1.52399599755881
,,,,1.8765450004139
,,,,1.55840400111629
,,,,75.8188879990485
,,,,6.35125500411959
,,,,3.38781699974788
,,,,2.1972199974698
,,,,2.62932600162458
,,,,2.5464220016147
,,,,1.69234199711354
,,,,1.56553900160361
,,,,1.6441730040242
,,,,1.50088599912124
,,,,1.53504699846962
,,,,76.5685149963247
,,,,1.63575099577429
,,,,1.6912749997573
,,,,1.77772100141738
,,,,1.80662499769824
,,,,1.62183999782428
,,,,2.26897700486006
,,,,1.65686399850529
,,,,1.5587269954267
,,,,1.6499900011695
,,,,1.66846099455142
,,,,1.54637699597515
,,,,1.66306800383609
,,,,1.72501699853456
,,,,75.6271110003581
,,,,1.98812999587972
,,,,1.79103200207464
,,,,1.75955799932126
,,,,1.83676699816715
,,,,2.46253999648616
,,,,1.81780099956086
,,,,2.21384099859279
,,,,2.74798199825454
,,,,1.88173600326991
,,,,1.98565900063841
,,,,1.78834400139749
,,,,2.0831840010942
,,,,77.4926400044933
,,,,1.65833500068402
,,,,2.061772000161
,,,,1.66924799850676
,,,,1.81876299757278
,,,,1.58441499661421
,,,,1.55663199984701
,,,,1.59378499665763
,,,,1.98908599850256
,,,,1.72646099963458
,,,,2.28434299788205
,,,,1.64074700296624
,,,,1.58052999904612
,,,,1.52880600217031
,,,,75.6877489984618
,,,,6.01093899604166
,,,,3.87390499963658
,,,,1.81554399750894
,,,,1.77493500086712
,,,,2.11289300204953
,,,,1.64893399778521
,,,,1.68241999926977
,,,,1.76238599669887
,,,,1.65158100571716
,,,,1.68851899798028
,,,,75.285585000529
,,,,6.88753299618838
,,,,3.58291999873472
,,,,1.91926599654835
,,,,1.61888900038321
,,,,1.64732899429509
,,,,2.65514299826464
,,,,1.87349900079425
,,,,1.6177659999812
,,,,1.65938099962659
,,,,75.6036230013706
,,,,4.28300199564546
,,,,1.66426199575653
,,,,1.68272399605485
,,,,1.83003300480777
,,,,2.44901200494496
,,,,1.73480999364983
,,,,1.65195499721449
,,,,2.01892499899259
,,,,2.55924699740717
,,,,1.79473099706229
,,,,1.73047800490167
,,,,1.61198100249749
,,,,1.79995399957988
,,,,78.6105919978581
,,,,3.40409699856536
,,,,2.29789800505387
,,,,1.58649800141575
,,,,2.54673400195315
,,,,1.69325599563308
,,,,3.66903600661317
,,,,1.68498900166014
,,,,1.673094004218
,,,,1.60771700029727
