time,cpu_request,cpu_usage,memory_request,memory_usage,model
1721386192.72394,500m,285m,1000Mi,439Mi,large
1721386195.76188,500m,0m,1000Mi,439Mi,large
1721386198.87081,500m,0m,1000Mi,439Mi,large
1721386201.91659,500m,0m,1000Mi,439Mi,large
1721386204.97108,500m,0m,1000Mi,439Mi,large
1721386208.01593,500m,0m,1000Mi,439Mi,large
1721386211.11013,500m,0m,1000Mi,439Mi,large
1721386214.14806,500m,0m,1000Mi,439Mi,large
1721386217.19547,500m,0m,1000Mi,439Mi,large
1721386220.23848,500m,0m,1000Mi,439Mi,large
1721386223.27927,500m,0m,1000Mi,439Mi,large
1721386226.31499,500m,0m,1000Mi,438Mi,large
1721386229.41891,500m,0m,1000Mi,438Mi,large
1721386232.85481,500m,0m,1000Mi,438Mi,large
1721386235.89985,500m,0m,1000Mi,438Mi,large
1721386238.93745,500m,0m,1000Mi,438Mi,large
1721386241.97967,500m,0m,1000Mi,438Mi,large
1721386245.02037,500m,0m,1000Mi,438Mi,large
1721386248.0544,500m,0m,1000Mi,438Mi,large
1721386251.11161,500m,0m,1000Mi,438Mi,large
1721386254.18642,500m,0m,1000Mi,438Mi,large
1721386257.22357,500m,222m,1000Mi,592Mi,large
1721386260.26631,500m,222m,1000Mi,592Mi,large
1721386263.3033,500m,222m,1000Mi,592Mi,large
1721386266.3498,500m,222m,1000Mi,592Mi,large
1721386269.40256,500m,222m,1000Mi,592Mi,large
1721386272.44685,500m,222m,1000Mi,592Mi,large
1721386275.48542,500m,222m,1000Mi,592Mi,large
1721386278.52768,500m,222m,1000Mi,592Mi,large
1721386281.57551,500m,222m,1000Mi,592Mi,large
1721386284.61841,500m,222m,1000Mi,592Mi,large
1721386287.65816,500m,485m,1000Mi,612Mi,large
1721386290.72286,500m,485m,1000Mi,612Mi,large
1721386293.77313,500m,485m,1000Mi,612Mi,large
1721386296.81772,500m,485m,1000Mi,612Mi,large
1721386299.86221,500m,485m,1000Mi,612Mi,large
1721386302.89977,500m,485m,1000Mi,612Mi,large
1721386305.94933,500m,485m,1000Mi,612Mi,large
1721386308.99547,500m,485m,1000Mi,612Mi,large
1721386312.04185,500m,485m,1000Mi,612Mi,large
1721386315.07833,500m,485m,1000Mi,612Mi,large
1721386318.13505,500m,485m,1000Mi,613Mi,large
1721386321.17678,500m,485m,1000Mi,613Mi,large
1721386324.21663,500m,485m,1000Mi,613Mi,large
