time,cpu_request,cpu_usage,memory_request,memory_usage,model
1721397449.09421,1000m,921m,1000Mi,588Mi,large
1721397452.13603,1000m,921m,1000Mi,588Mi,large
1721397455.17746,1000m,921m,1000Mi,588Mi,large
1721397458.20994,1000m,921m,1000Mi,588Mi,large
1721397461.24814,1000m,921m,1000Mi,588Mi,large
1721397464.28856,1000m,921m,1000Mi,588Mi,large
1721397467.32294,1000m,921m,1000Mi,588Mi,large
1721397470.36455,1000m,921m,1000Mi,588Mi,large
1721397473.40396,1000m,921m,1000Mi,588Mi,large
1721397476.44224,1000m,922m,1000Mi,557Mi,large
1721397479.4775,1000m,922m,1000Mi,557Mi,large
1721397482.51907,1000m,922m,1000Mi,557Mi,large
1721397485.56163,1000m,922m,1000Mi,557Mi,large
1721397488.62043,1000m,922m,1000Mi,557Mi,large
1721397491.66125,1000m,922m,1000Mi,557Mi,large
1721397494.70206,1000m,922m,1000Mi,557Mi,large
1721397497.73649,1000m,922m,1000Mi,557Mi,large
1721397500.78353,1000m,922m,1000Mi,557Mi,large
1721397503.8332,1000m,922m,1000Mi,557Mi,large
1721397506.87346,1000m,908m,1000Mi,584Mi,large
1721397509.91697,1000m,908m,1000Mi,584Mi,large
1721397512.96635,1000m,908m,1000Mi,584Mi,large
1721397516.06992,1000m,908m,1000Mi,584Mi,large
1721397519.10876,1000m,908m,1000Mi,584Mi,large
1721397522.1464,1000m,908m,1000Mi,584Mi,large
1721397525.19303,1000m,908m,1000Mi,584Mi,large
1721397528.23107,1000m,908m,1000Mi,584Mi,large
1721397531.31895,1000m,908m,1000Mi,584Mi,large
1721397534.35907,1000m,908m,1000Mi,584Mi,large
1721397537.41727,1000m,924m,1000Mi,595Mi,large
1721397540.4591,1000m,924m,1000Mi,595Mi,large
1721397543.50077,1000m,924m,1000Mi,595Mi,large
1721397546.53602,1000m,924m,1000Mi,595Mi,large
1721397549.58037,1000m,924m,1000Mi,595Mi,large
1721397552.61619,1000m,924m,1000Mi,595Mi,large
1721397555.65843,1000m,924m,1000Mi,595Mi,large
1721397558.69501,1000m,924m,1000Mi,595Mi,large
1721397561.78539,1000m,924m,1000Mi,595Mi,large
1721397564.82608,1000m,924m,1000Mi,595Mi,large
1721397567.86689,1000m,912m,1000Mi,584Mi,large
1721397570.96586,1000m,912m,1000Mi,584Mi,large
1721397574.01327,1000m,912m,1000Mi,584Mi,large
1721397577.05561,1000m,912m,1000Mi,584Mi,large
1721397580.09944,1000m,912m,1000Mi,584Mi,large
1721397583.13772,1000m,912m,1000Mi,584Mi,large
1721397586.17438,1000m,912m,1000Mi,584Mi,large
1721397589.21648,1000m,912m,1000Mi,584Mi,large
1721397592.25148,1000m,912m,1000Mi,584Mi,large
1721397595.29392,1000m,924m,1000Mi,584Mi,large
1721397598.33197,1000m,924m,1000Mi,584Mi,large
1721397601.36606,1000m,924m,1000Mi,584Mi,large
1721397604.40849,1000m,924m,1000Mi,584Mi,large
1721397607.48226,1000m,924m,1000Mi,584Mi,large
1721397610.5231,1000m,924m,1000Mi,584Mi,large
1721397613.64486,1000m,924m,1000Mi,584Mi,large
1721397616.68435,1000m,924m,1000Mi,584Mi,large
1721397619.71872,1000m,924m,1000Mi,584Mi,large
1721397622.77878,1000m,924m,1000Mi,584Mi,large
1721397625.81658,1000m,924m,1000Mi,595Mi,large
1721397628.86893,1000m,924m,1000Mi,595Mi,large
1721397631.90784,1000m,924m,1000Mi,595Mi,large
1721397634.95404,1000m,924m,1000Mi,595Mi,large
1721397637.99935,1000m,924m,1000Mi,595Mi,large
1721397641.04376,1000m,924m,1000Mi,595Mi,large
1721397644.08688,1000m,924m,1000Mi,595Mi,large
1721397647.34568,1000m,924m,1000Mi,595Mi,large
1721397650.3838,1000m,924m,1000Mi,595Mi,large
1721397653.42925,1000m,924m,1000Mi,595Mi,large
1721397656.47166,1000m,914m,1000Mi,595Mi,large
1721397659.52391,1000m,914m,1000Mi,595Mi,large
1721397662.56203,1000m,914m,1000Mi,595Mi,large
1721397665.5997,1000m,914m,1000Mi,595Mi,large
1721397668.64057,1000m,914m,1000Mi,595Mi,large
1721397671.69157,1000m,914m,1000Mi,595Mi,large
1721397674.72999,1000m,914m,1000Mi,595Mi,large
1721397677.77538,1000m,914m,1000Mi,595Mi,large
1721397680.81643,1000m,914m,1000Mi,595Mi,large
1721397683.92085,1000m,914m,1000Mi,595Mi,large
1721397686.96031,1000m,912m,1000Mi,584Mi,large
1721397690.01107,1000m,912m,1000Mi,584Mi,large
1721397693.05164,1000m,912m,1000Mi,584Mi,large
1721397696.09862,1000m,912m,1000Mi,584Mi,large
1721397699.14025,1000m,912m,1000Mi,584Mi,large
1721397702.18673,1000m,912m,1000Mi,584Mi,large
1721397705.27691,1000m,912m,1000Mi,584Mi,large
1721397708.32307,1000m,912m,1000Mi,584Mi,large
1721397711.36555,1000m,912m,1000Mi,584Mi,large
1721397714.40869,1000m,912m,1000Mi,584Mi,large
1721397717.45306,1000m,925m,1000Mi,595Mi,large
1721397720.50274,1000m,925m,1000Mi,595Mi,large
1721397723.54372,1000m,925m,1000Mi,595Mi,large
1721397726.58688,1000m,925m,1000Mi,595Mi,large
1721397729.71642,1000m,925m,1000Mi,595Mi,large
1721397732.76111,1000m,925m,1000Mi,595Mi,large
1721397735.80157,1000m,925m,1000Mi,595Mi,large
1721397738.89675,1000m,925m,1000Mi,595Mi,large
1721397741.93771,1000m,925m,1000Mi,595Mi,large
1721397744.98572,1000m,925m,1000Mi,595Mi,large
1721397748.02676,1000m,916m,1000Mi,579Mi,large
1721397751.07007,1000m,916m,1000Mi,579Mi,large
1721397754.22298,1000m,916m,1000Mi,579Mi,large
1721397757.26314,1000m,916m,1000Mi,579Mi,large
1721397760.30935,1000m,916m,1000Mi,579Mi,large
1721397763.35097,1000m,916m,1000Mi,579Mi,large
1721397766.40105,1000m,916m,1000Mi,579Mi,large
1721397769.44559,1000m,916m,1000Mi,579Mi,large
1721397772.53563,1000m,916m,1000Mi,579Mi,large
1721397775.57932,1000m,924m,1000Mi,584Mi,large
1721397778.76091,1000m,924m,1000Mi,584Mi,large
1721397781.80378,1000m,924m,1000Mi,584Mi,large
1721397784.84904,1000m,924m,1000Mi,584Mi,large
1721397787.88729,1000m,924m,1000Mi,584Mi,large
1721397790.93209,1000m,924m,1000Mi,584Mi,large
1721397793.98864,1000m,924m,1000Mi,584Mi,large
1721397797.03065,1000m,924m,1000Mi,584Mi,large
1721397800.07222,1000m,924m,1000Mi,584Mi,large
1721397803.11433,1000m,924m,1000Mi,584Mi,large
1721397806.24083,1000m,911m,1000Mi,595Mi,large
1721397809.32836,1000m,911m,1000Mi,595Mi,large
1721397812.3621,1000m,911m,1000Mi,595Mi,large
1721397815.40252,1000m,911m,1000Mi,595Mi,large
1721397818.54996,1000m,911m,1000Mi,595Mi,large
1721397821.5895,1000m,911m,1000Mi,595Mi,large
1721397824.62287,1000m,911m,1000Mi,595Mi,large
1721397827.66189,1000m,911m,1000Mi,595Mi,large
1721397830.70683,1000m,911m,1000Mi,595Mi,large
1721397833.74836,1000m,911m,1000Mi,595Mi,large
1721397836.79102,1000m,803m,1000Mi,579Mi,large
1721397839.83528,1000m,803m,1000Mi,579Mi,large
1721397842.8785,1000m,803m,1000Mi,579Mi,large
1721397845.92155,1000m,803m,1000Mi,579Mi,large
1721397848.96981,1000m,803m,1000Mi,579Mi,large
1721397852.00963,1000m,803m,1000Mi,579Mi,large
1721397855.04889,1000m,803m,1000Mi,579Mi,large
1721397858.08587,1000m,803m,1000Mi,579Mi,large
1721397861.12804,1000m,803m,1000Mi,579Mi,large
1721397864.16825,1000m,803m,1000Mi,579Mi,large
1721397867.20981,1000m,901m,1000Mi,589Mi,large
1721397870.25654,1000m,901m,1000Mi,589Mi,large
1721397873.33079,1000m,901m,1000Mi,589Mi,large
1721397876.36958,1000m,901m,1000Mi,589Mi,large
1721397879.41053,1000m,901m,1000Mi,589Mi,large
1721397882.45083,1000m,901m,1000Mi,589Mi,large
1721397885.48916,1000m,901m,1000Mi,589Mi,large
1721397888.53199,1000m,901m,1000Mi,589Mi,large
1721397891.59099,1000m,901m,1000Mi,589Mi,large
1721397894.63349,1000m,901m,1000Mi,589Mi,large
1721397897.67559,1000m,887m,1000Mi,584Mi,large
1721397900.7168,1000m,887m,1000Mi,584Mi,large
1721397903.76025,1000m,887m,1000Mi,584Mi,large
1721397906.79964,1000m,887m,1000Mi,584Mi,large
1721397909.84474,1000m,887m,1000Mi,584Mi,large
1721397912.88973,1000m,887m,1000Mi,584Mi,large
1721397915.93721,1000m,887m,1000Mi,584Mi,large
1721397918.97189,1000m,887m,1000Mi,584Mi,large
1721397922.01847,1000m,887m,1000Mi,584Mi,large
1721397925.06051,1000m,887m,1000Mi,584Mi,large
1721397928.14837,1000m,509m,1000Mi,595Mi,large
1721397931.19073,1000m,509m,1000Mi,595Mi,large
1721397934.23264,1000m,509m,1000Mi,595Mi,large
1721397937.27877,1000m,509m,1000Mi,595Mi,large
1721397940.31905,1000m,509m,1000Mi,595Mi,large
1721397943.35302,1000m,509m,1000Mi,595Mi,large
1721397946.43728,1000m,509m,1000Mi,595Mi,large
1721397949.47748,1000m,509m,1000Mi,595Mi,large
1721397952.58922,1000m,509m,1000Mi,595Mi,large
1721397955.62305,1000m,889m,1000Mi,584Mi,large
1721397958.7733,1000m,889m,1000Mi,584Mi,large
1721397961.80899,1000m,889m,1000Mi,584Mi,large
1721397964.85202,1000m,889m,1000Mi,584Mi,large
1721397967.88494,1000m,889m,1000Mi,584Mi,large
1721397970.92734,1000m,889m,1000Mi,584Mi,large
1721397973.97631,1000m,889m,1000Mi,584Mi,large
1721397977.02218,1000m,889m,1000Mi,584Mi,large
1721397980.08219,1000m,889m,1000Mi,584Mi,large
1721397983.13345,1000m,889m,1000Mi,584Mi,large
1721397986.17271,1000m,893m,1000Mi,584Mi,large
1721397989.23593,1000m,893m,1000Mi,584Mi,large
1721397992.27901,1000m,893m,1000Mi,584Mi,large
1721397995.32075,1000m,893m,1000Mi,584Mi,large
1721397998.36139,1000m,893m,1000Mi,584Mi,large
1721398001.40628,1000m,893m,1000Mi,584Mi,large
1721398004.45201,1000m,893m,1000Mi,584Mi,large
1721398007.50554,1000m,893m,1000Mi,584Mi,large
1721398010.54849,1000m,893m,1000Mi,584Mi,large
1721398013.58831,1000m,893m,1000Mi,584Mi,large
1721398016.6308,1000m,894m,1000Mi,599Mi,large
1721398019.67755,1000m,894m,1000Mi,599Mi,large
1721398022.71723,1000m,894m,1000Mi,599Mi,large
1721398025.76567,1000m,894m,1000Mi,599Mi,large
1721398028.8055,1000m,894m,1000Mi,599Mi,large
1721398031.84795,1000m,894m,1000Mi,599Mi,large
1721398034.88703,1000m,894m,1000Mi,599Mi,large
1721398037.93768,1000m,894m,1000Mi,599Mi,large
1721398040.98116,1000m,894m,1000Mi,599Mi,large
1721398044.02486,1000m,894m,1000Mi,599Mi,large
1721398047.07037,1000m,881m,1000Mi,562Mi,large
1721398050.32645,1000m,881m,1000Mi,562Mi,large
1721398053.36926,1000m,881m,1000Mi,562Mi,large
1721398056.412,1000m,881m,1000Mi,562Mi,large
1721398059.45431,1000m,881m,1000Mi,562Mi,large
1721398062.50364,1000m,881m,1000Mi,562Mi,large
1721398065.54661,1000m,881m,1000Mi,562Mi,large
1721398068.58909,1000m,881m,1000Mi,562Mi,large
1721398071.62847,1000m,881m,1000Mi,562Mi,large
1721398074.67487,1000m,881m,1000Mi,562Mi,large
1721398077.71889,1000m,549m,1000Mi,540Mi,large
1721398080.76423,1000m,549m,1000Mi,540Mi,large
1721398083.80522,1000m,549m,1000Mi,540Mi,large
1721398086.86223,1000m,549m,1000Mi,540Mi,large
1721398089.9056,1000m,549m,1000Mi,540Mi,large
1721398092.95137,1000m,549m,1000Mi,540Mi,large
1721398096.01868,1000m,549m,1000Mi,540Mi,large
1721398099.06981,1000m,549m,1000Mi,540Mi,large
1721398102.12195,1000m,549m,1000Mi,540Mi,large
1721398105.16541,1000m,549m,1000Mi,540Mi,large
1721398108.20578,1000m,793m,1000Mi,588Mi,large
1721398111.31825,1000m,793m,1000Mi,588Mi,large
1721398114.36189,1000m,793m,1000Mi,588Mi,large
1721398117.45933,1000m,793m,1000Mi,588Mi,large
1721398120.50927,1000m,793m,1000Mi,588Mi,large
1721398123.73179,1000m,793m,1000Mi,588Mi,large
1721398126.77598,1000m,793m,1000Mi,588Mi,large
1721398129.81402,1000m,793m,1000Mi,588Mi,large
1721398132.86752,1000m,793m,1000Mi,588Mi,large
1721398135.91051,1000m,819m,1000Mi,583Mi,large
1721398138.96238,1000m,819m,1000Mi,583Mi,large
1721398142.00012,1000m,819m,1000Mi,583Mi,large
1721398145.04247,1000m,819m,1000Mi,583Mi,large
1721398148.08638,1000m,819m,1000Mi,583Mi,large
1721398151.12927,1000m,819m,1000Mi,583Mi,large
1721398154.16721,1000m,819m,1000Mi,583Mi,large
1721398157.22005,1000m,819m,1000Mi,583Mi,large
1721398160.25923,1000m,819m,1000Mi,583Mi,large
1721398163.30813,1000m,819m,1000Mi,583Mi,large
1721398166.34804,1000m,565m,1000Mi,584Mi,large
1721398169.39251,1000m,565m,1000Mi,584Mi,large
1721398172.48157,1000m,565m,1000Mi,584Mi,large
1721398175.52679,1000m,565m,1000Mi,584Mi,large
1721398178.77922,1000m,565m,1000Mi,584Mi,large
1721398181.83744,1000m,565m,1000Mi,584Mi,large
1721398184.88028,1000m,565m,1000Mi,584Mi,large
1721398187.91602,1000m,565m,1000Mi,584Mi,large
1721398190.94881,1000m,565m,1000Mi,584Mi,large
1721398193.98755,1000m,565m,1000Mi,584Mi,large
1721398197.03234,1000m,901m,1000Mi,589Mi,large
1721398200.0681,1000m,901m,1000Mi,589Mi,large
1721398203.10989,1000m,901m,1000Mi,589Mi,large
1721398206.14339,1000m,901m,1000Mi,589Mi,large
1721398209.1896,1000m,901m,1000Mi,589Mi,large
1721398212.23377,1000m,901m,1000Mi,589Mi,large
1721398215.27769,1000m,901m,1000Mi,589Mi,large
1721398218.32318,1000m,901m,1000Mi,589Mi,large
1721398221.37076,1000m,901m,1000Mi,589Mi,large
1721398224.41298,1000m,901m,1000Mi,589Mi,large
1721398227.45289,1000m,896m,1000Mi,581Mi,large
1721398230.49918,1000m,896m,1000Mi,581Mi,large
1721398233.61796,1000m,896m,1000Mi,581Mi,large
1721398236.65843,1000m,896m,1000Mi,581Mi,large
1721398239.69749,1000m,896m,1000Mi,581Mi,large
1721398242.74082,1000m,896m,1000Mi,581Mi,large
1721398245.78347,1000m,896m,1000Mi,581Mi,large
1721398248.91842,1000m,896m,1000Mi,581Mi,large
1721398251.96855,1000m,896m,1000Mi,581Mi,large
1721398255.00899,1000m,896m,1000Mi,581Mi,large
1721398258.11586,1000m,838m,1000Mi,581Mi,large
1721398261.15014,1000m,838m,1000Mi,581Mi,large
1721398264.18872,1000m,838m,1000Mi,581Mi,large
1721398267.2284,1000m,838m,1000Mi,581Mi,large
