time,cpu_request,cpu_usage,memory_request,memory_usage,model,model_acc,processing_delay(ms)
1721419676.46307,1500m,246m,1000Mi,235Mi,small,44.9,3290.76385498047
1721419679.49718,1500m,246m,1000Mi,235Mi,small,44.9,476.178884506226
1721419682.6727,1500m,246m,1000Mi,235Mi,small,44.9,526.332378387451
1721419685.71636,1500m,246m,1000Mi,235Mi,small,44.9,512.50433921814
1721419688.76491,1500m,246m,1000Mi,235Mi,small,44.9,485.64887046814
1721419691.80807,1500m,246m,1000Mi,235Mi,small,44.9,485.902786254883
1721419694.84238,1500m,0m,1000Mi,235Mi,small,44.9,498.77667427063
1721419697.87676,1500m,0m,1000Mi,235Mi,small,44.9,479.039430618286
1721419700.98617,1500m,0m,1000Mi,235Mi,small,44.9,500.128984451294
1721419704.02533,1500m,0m,1000Mi,235Mi,small,44.9,472.667694091797
1721419707.07687,1500m,0m,1000Mi,235Mi,small,44.9,477.97703742981
1721419710.12043,1500m,0m,1000Mi,235Mi,small,44.9,478.970527648926
1721419713.17194,1500m,0m,1000Mi,235Mi,small,44.9,488.957166671753
1721419716.21998,1500m,0m,1000Mi,235Mi,small,44.9,489.88938331604
1721419719.26708,1500m,0m,1000Mi,235Mi,small,44.9,479.390144348145
1721419722.38001,1500m,0m,1000Mi,235Mi,small,44.9,494.561195373535
1721419725.42432,1500m,25m,1000Mi,0Mi,small,44.9,506.262063980103
1721419728.45895,1500m,25m,1000Mi,0Mi,small,44.9,477.211475372314
1721419731.80853,1500m,25m,1000Mi,0Mi,small,44.9,480.21674156189
1721419734.84227,1500m,25m,1000Mi,0Mi,small,44.9,491.060256958008
1721419737.89245,1500m,25m,1000Mi,0Mi,small,44.9,488.11411857605
1721419741.15347,1500m,25m,1000Mi,0Mi,small,44.9,499.755620956421
1721419744.27948,1500m,25m,1000Mi,0Mi,small,44.9,488.858461380005
1721419747.31803,1500m,25m,1000Mi,0Mi,small,44.9,501.341581344605
1721419750.38307,1500m,25m,1000Mi,0Mi,small,44.9,481.714725494385
1721419753.43149,1500m,25m,1000Mi,0Mi,small,44.9,480.533599853516
1721419756.4802,1500m,770m,1000Mi,338Mi,small,44.9,489.266157150269
1721419759.51843,1500m,770m,1000Mi,338Mi,small,44.9,511.27028465271
1721419762.59378,1500m,770m,1000Mi,338Mi,small,44.9,513.716697692871
1721419765.65789,1500m,770m,1000Mi,338Mi,small,44.9,489.458799362183
1721419768.69485,1500m,770m,1000Mi,338Mi,small,44.9,478.441953659058
1721419771.97493,1500m,770m,1000Mi,338Mi,small,44.9,511.952877044678
1721419775.02738,1500m,770m,1000Mi,338Mi,small,44.9,487.136125564575
1721419778.06784,1500m,770m,1000Mi,338Mi,small,44.9,494.637727737427
1721419781.38664,1500m,770m,1000Mi,338Mi,small,44.9,507.887840270996
1721419784.43725,1500m,733m,1000Mi,348Mi,small,44.9,485.073089599609
1721419787.58843,1500m,733m,1000Mi,348Mi,small,44.9,472.855091094971
1721419790.62291,1500m,733m,1000Mi,348Mi,small,44.9,482.979297637939
1721419793.68456,1500m,733m,1000Mi,348Mi,small,44.9,483.006000518799
1721419796.78249,1500m,733m,1000Mi,348Mi,small,44.9,498.00181388855
1721419799.82482,1500m,733m,1000Mi,348Mi,small,44.9,493.564128875732
1721419802.8764,1500m,733m,1000Mi,348Mi,small,44.9,495.548963546753
1721419805.91311,1500m,733m,1000Mi,348Mi,small,44.9,478.088617324829
1721419808.95323,1500m,733m,1000Mi,348Mi,small,44.9,478.591203689575
1721419811.98936,1500m,733m,1000Mi,348Mi,small,44.9,497.360944747925
1721419815.28401,1500m,765m,1000Mi,331Mi,small,44.9,494.616270065308
1721419818.32279,1500m,765m,1000Mi,331Mi,small,44.9,528.087139129639
1721419821.38031,1500m,765m,1000Mi,331Mi,small,44.9,501.764297485352
1721419824.43693,1500m,765m,1000Mi,331Mi,small,44.9,476.256608963013
1721419827.47748,1500m,765m,1000Mi,331Mi,small,44.9,484.592437744141
1721419830.51968,1500m,765m,1000Mi,331Mi,small,44.9,488.740205764771
1721419833.55604,1500m,765m,1000Mi,331Mi,small,44.9,480.366945266724
1721419836.60737,1500m,765m,1000Mi,331Mi,small,44.9,521.374702453613
1721419839.86303,1500m,765m,1000Mi,331Mi,small,44.9,481.235504150391
1721419842.90102,1500m,765m,1000Mi,331Mi,small,44.9,481.489658355713
1721419845.97949,1500m,746m,1000Mi,337Mi,small,44.9,508.047103881836
1721419849.01822,1500m,746m,1000Mi,337Mi,small,44.9,473.909854888916
1721419852.07842,1500m,746m,1000Mi,337Mi,small,44.9,480.799913406372
1721419855.11967,1500m,746m,1000Mi,337Mi,small,44.9,484.416007995606
1721419858.1752,1500m,746m,1000Mi,337Mi,small,44.9,486.908912658691
1721419861.21903,1500m,746m,1000Mi,337Mi,small,44.9,478.100061416626
1721419864.26022,1500m,746m,1000Mi,337Mi,small,44.9,490.222930908203
1721419867.55887,1500m,746m,1000Mi,337Mi,small,44.9,500.398874282837
1721419870.65326,1500m,746m,1000Mi,337Mi,small,44.9,492.802619934082
1721419873.7011,1500m,746m,1000Mi,337Mi,small,44.9,492.122173309326
1721419876.74529,1500m,762m,1000Mi,339Mi,small,44.9,497.190237045288
1721419879.79035,1500m,762m,1000Mi,339Mi,small,44.9,487.349987030029
