time,cpu_request,cpu_usage,memory_request,memory_usage,model,model_acc,processing_delay(ms)
1721421274.68308,1000m,282m,1000Mi,236Mi,small,44.9,3280.42054176331
1721421278.07937,1000m,282m,1000Mi,236Mi,small,44.9,488.828182220459
1721421281.60272,1000m,282m,1000Mi,236Mi,small,44.9,480.04412651062
1721421284.85837,1000m,111m,1000Mi,236Mi,small,44.9,497.664928436279
1721421288.13885,1000m,111m,1000Mi,236Mi,small,44.9,484.086513519287
1721421291.47269,1000m,111m,1000Mi,236Mi,small,44.9,474.379777908325
1721421294.58963,1000m,111m,1000Mi,236Mi,small,44.9,474.193811416626
1721421297.65725,1000m,111m,1000Mi,236Mi,small,44.9,506.664752960205
1721421303.67313,1000m,111m,1000Mi,236Mi,small,44.9,491.272687911987
1721421306.80008,1000m,111m,1000Mi,236Mi,small,44.9,513.211488723755
1721421309.89058,1000m,111m,1000Mi,236Mi,small,44.9,518.104553222656
1721421312.96865,1000m,111m,1000Mi,236Mi,small,44.9,487.904071807861
1721421316.04252,1000m,325m,1000Mi,343Mi,small,44.9,495.605230331421
1721421319.10256,1000m,325m,1000Mi,343Mi,small,44.9,487.239122390747
1721421322.18341,1000m,325m,1000Mi,343Mi,small,44.9,505.323171615601
1721421325.25247,1000m,325m,1000Mi,343Mi,small,44.9,489.603757858276
1721421328.32887,1000m,325m,1000Mi,343Mi,small,44.9,470.831632614136
1721421331.4008,1000m,325m,1000Mi,343Mi,small,44.9,478.637933731079
1721421334.46811,1000m,325m,1000Mi,343Mi,small,44.9,466.632127761841
1721421337.51871,1000m,325m,1000Mi,343Mi,small,44.9,481.19330406189
1721421340.58877,1000m,325m,1000Mi,343Mi,small,44.9,476.037502288818
1721421343.65246,1000m,325m,1000Mi,343Mi,small,44.9,482.801675796509
1721421346.71642,1000m,552m,1000Mi,340Mi,small,44.9,480.019569396973
1721421350.2168,1000m,552m,1000Mi,340Mi,small,44.9,516.704797744751
1721421353.28394,1000m,552m,1000Mi,340Mi,small,44.9,484.126091003418
1721421356.40599,1000m,552m,1000Mi,340Mi,small,44.9,476.889848709106
1721421360.03256,1000m,552m,1000Mi,340Mi,small,44.9,481.632947921753
1721421363.13118,1000m,552m,1000Mi,340Mi,small,44.9,551.403045654297
1721421366.19252,1000m,552m,1000Mi,340Mi,small,44.9,484.46798324585
1721421369.25733,1000m,552m,1000Mi,340Mi,small,44.9,509.193658828735
1721421372.31188,1000m,552m,1000Mi,340Mi,small,44.9,474.689483642578
1721421375.36943,1000m,619m,1000Mi,341Mi,small,44.9,481.196165084839
1721421378.44626,1000m,619m,1000Mi,341Mi,small,44.9,484.259605407715
1721421382.59002,1000m,619m,1000Mi,341Mi,small,44.9,504.834651947022
1721421385.64026,1000m,619m,1000Mi,341Mi,small,44.9,471.884250640869
1721421388.67766,1000m,619m,1000Mi,341Mi,small,44.9,470.211029052734
1721421391.72057,1000m,619m,1000Mi,341Mi,small,44.9,486.892223358154
1721421394.76465,1000m,619m,1000Mi,341Mi,small,44.9,486.520528793335
1721421397.80245,1000m,619m,1000Mi,341Mi,small,44.9,492.750406265259
1721421401.18637,1000m,619m,1000Mi,341Mi,small,44.9,475.845098495483
1721421404.23698,1000m,723m,1000Mi,331Mi,small,44.9,491.806983947754
1721421407.27685,1000m,723m,1000Mi,331Mi,small,44.9,477.035284042358
1721421410.32197,1000m,723m,1000Mi,331Mi,small,44.9,476.834297180176
1721421413.36109,1000m,723m,1000Mi,331Mi,small,44.9,486.927509307861
1721421416.44747,1000m,723m,1000Mi,331Mi,small,44.9,485.426187515259
1721421419.50898,1000m,723m,1000Mi,331Mi,small,44.9,540.838718414307
1721421422.56026,1000m,723m,1000Mi,331Mi,small,44.9,472.156047821045
1721421425.59865,1000m,723m,1000Mi,331Mi,small,44.9,480.116367340088
1721421428.63437,1000m,723m,1000Mi,331Mi,small,44.9,475.699901580811
1721421431.68965,1000m,723m,1000Mi,331Mi,small,44.9,477.426052093506
1721421434.72424,1000m,742m,1000Mi,340Mi,small,44.9,478.038311004639
1721421437.76533,1000m,742m,1000Mi,340Mi,small,44.9,482.731819152832
1721421440.80687,1000m,742m,1000Mi,340Mi,small,44.9,516.233921051025
1721421443.85328,1000m,742m,1000Mi,340Mi,small,44.9,503.710985183716
1721421446.90999,1000m,742m,1000Mi,340Mi,small,44.9,517.824649810791
1721421449.95109,1000m,742m,1000Mi,340Mi,small,44.9,483.573913574219
1721421452.98937,1000m,742m,1000Mi,340Mi,small,44.9,485.856771469116
1721421456.07724,1000m,742m,1000Mi,340Mi,small,44.9,487.120866775513
1721421459.11481,1000m,742m,1000Mi,340Mi,small,44.9,479.621171951294
1721421462.16089,1000m,742m,1000Mi,340Mi,small,44.9,478.102207183838
1721421465.20014,1000m,703m,1000Mi,342Mi,small,44.9,467.814207077026
1721421468.24235,1000m,703m,1000Mi,342Mi,small,44.9,486.852169036865
1721421471.29138,1000m,703m,1000Mi,342Mi,small,44.9,509.363889694214
1721421474.33182,1000m,703m,1000Mi,342Mi,small,44.9,475.066661834717
1721421477.3998,1000m,703m,1000Mi,342Mi,small,44.9,509.021282196045
1721421480.44199,1000m,703m,1000Mi,342Mi,small,44.9,481.228828430176
1721421483.48406,1000m,703m,1000Mi,342Mi,small,44.9,488.893508911133
1721421486.52283,1000m,703m,1000Mi,342Mi,small,44.9,503.795146942139
1721421489.56697,1000m,703m,1000Mi,342Mi,small,44.9,490.17071723938
1721421492.90694,1000m,703m,1000Mi,342Mi,small,44.9,523.504018783569
1721421495.94914,1000m,724m,1000Mi,336Mi,small,44.9,468.415021896362
1721421498.98753,1000m,724m,1000Mi,336Mi,small,44.9,473.32501411438
1721421502.47743,1000m,724m,1000Mi,336Mi,small,44.9,489.418268203735
1721421505.57975,1000m,724m,1000Mi,336Mi,small,44.9,505.037546157837
1721421509.76363,1000m,724m,1000Mi,336Mi,small,44.9,516.187906265259
1721421514.70529,1000m,724m,1000Mi,336Mi,small,44.9,485.484600067139
1721421526.31353,1000m,724m,1000Mi,336Mi,small,44.9,556.381940841675
1721421529.90388,1000m,482m,1000Mi,331Mi,small,44.9,475.306272506714
1721421533.22147,1000m,482m,1000Mi,331Mi,small,44.9,483.216047286987
1721421536.55044,1000m,482m,1000Mi,331Mi,small,44.9,486.368894577026
1721421539.61089,1000m,482m,1000Mi,331Mi,small,44.9,485.591650009155
1721421543.03849,1000m,482m,1000Mi,331Mi,small,44.9,473.140001296997
1721421546.32982,1000m,482m,1000Mi,331Mi,small,44.9,508.689641952515
1721421550.18768,1000m,482m,1000Mi,331Mi,small,44.9,482.824087142944
1721421558.6723,1000m,482m,1000Mi,331Mi,small,44.9,504.233837127686
1721421562.08801,1000m,246m,1000Mi,331Mi,small,44.9,509.367227554321
1721421565.12905,1000m,246m,1000Mi,331Mi,small,44.9,509.412527084351
1721421568.19136,1000m,246m,1000Mi,331Mi,small,44.9,488.66081237793
1721421571.23581,1000m,246m,1000Mi,331Mi,small,44.9,477.278709411621
1721421574.32271,1000m,246m,1000Mi,331Mi,small,44.9,481.473684310913
1721421577.38229,1000m,246m,1000Mi,331Mi,small,44.9,487.332344055176
1721421580.86378,1000m,246m,1000Mi,331Mi,small,44.9,478.045225143433
1721421583.90474,1000m,246m,1000Mi,331Mi,small,44.9,570.594072341919
1721421586.93687,1000m,243m,1000Mi,331Mi,small,44.9,479.441404342651
1721421590.01584,1000m,243m,1000Mi,331Mi,small,44.9,510.164022445679
1721421593.05897,1000m,243m,1000Mi,331Mi,small,44.9,475.605249404907
1721421596.25509,1000m,243m,1000Mi,331Mi,small,44.9,485.668897628784
1721421599.29465,1000m,243m,1000Mi,331Mi,small,44.9,490.3244972229
1721421602.67967,1000m,243m,1000Mi,331Mi,small,44.9,490.221500396729
1721421605.71466,1000m,243m,1000Mi,331Mi,small,44.9,483.114957809448
1721421608.74715,1000m,243m,1000Mi,331Mi,small,44.9,516.165256500244
