time,cpu_request,cpu_usage,memory_request,memory_usage,model
1721323013.8935614,1500m,183m,1000Mi,235Mi,small
1721323016.9413464,1500m,183m,1000Mi,235Mi,small
1721323019.9771388,1500m,183m,1000Mi,235Mi,small
1721323023.0121899,1500m,183m,1000Mi,235Mi,small
1721323026.1155558,1500m,183m,1000Mi,235Mi,small
1721323029.1544573,1500m,183m,1000Mi,235Mi,small
1721323032.248125,1500m,0m,1000Mi,235Mi,small
1721323035.291303,1500m,0m,1000Mi,235Mi,small
1721323038.3416626,1500m,0m,1000Mi,235Mi,small
1721323041.3802543,1500m,0m,1000Mi,235Mi,small
1721323044.4204514,1500m,0m,1000Mi,235Mi,small
1721323047.4714904,1500m,0m,1000Mi,235Mi,small
1721323050.517859,1500m,0m,1000Mi,235Mi,small
1721323053.8016524,1500m,0m,1000Mi,235Mi,small
1721323056.847792,1500m,0m,1000Mi,235Mi,small
1721323059.8893719,1500m,0m,1000Mi,235Mi,small
1721323062.9361343,1500m,437m,1000Mi,346Mi,small
1721323065.974736,1500m,437m,1000Mi,346Mi,small
1721323069.011082,1500m,437m,1000Mi,346Mi,small
1721323072.0522692,1500m,437m,1000Mi,346Mi,small
1721323075.1314316,1500m,437m,1000Mi,346Mi,small
1721323078.1705337,1500m,437m,1000Mi,346Mi,small
1721323081.2119136,1500m,437m,1000Mi,346Mi,small
1721323084.269566,1500m,437m,1000Mi,346Mi,small
1721323087.3103514,1500m,437m,1000Mi,346Mi,small
1721323090.3540154,1500m,437m,1000Mi,346Mi,small
1721323093.3945127,1500m,621m,1000Mi,344Mi,small
1721323096.438928,1500m,621m,1000Mi,344Mi,small
1721323099.593152,1500m,621m,1000Mi,344Mi,small
1721323102.653461,1500m,621m,1000Mi,344Mi,small
1721323105.7002618,1500m,621m,1000Mi,344Mi,small
1721323108.736011,1500m,621m,1000Mi,344Mi,small
1721323111.7861614,1500m,621m,1000Mi,344Mi,small
1721323114.8270657,1500m,621m,1000Mi,344Mi,small
1721323117.8707914,1500m,621m,1000Mi,344Mi,small
1721323120.9170165,1500m,564m,1000Mi,329Mi,small
1721323123.961994,1500m,564m,1000Mi,329Mi,small
1721323127.0012972,1500m,564m,1000Mi,329Mi,small
1721323130.042701,1500m,564m,1000Mi,329Mi,small
1721323133.0883768,1500m,564m,1000Mi,329Mi,small
1721323136.204981,1500m,564m,1000Mi,329Mi,small
1721323139.2494755,1500m,564m,1000Mi,329Mi,small
1721323142.2926407,1500m,564m,1000Mi,329Mi,small
1721323145.335825,1500m,564m,1000Mi,329Mi,small
1721323148.435798,1500m,564m,1000Mi,329Mi,small
1721323151.4711273,1500m,574m,1000Mi,347Mi,small
1721323154.5071163,1500m,574m,1000Mi,347Mi,small
1721323157.5472696,1500m,574m,1000Mi,347Mi,small
1721323160.5897567,1500m,574m,1000Mi,347Mi,small
1721323163.7081227,1500m,574m,1000Mi,347Mi,small
1721323166.78054,1500m,574m,1000Mi,347Mi,small
1721323169.8214386,1500m,574m,1000Mi,347Mi,small
1721323172.9037468,1500m,574m,1000Mi,347Mi,small
1721323175.9468396,1500m,574m,1000Mi,347Mi,small
1721323178.984244,1500m,574m,1000Mi,347Mi,small
1721323182.020808,1500m,675m,1000Mi,347Mi,small
1721323185.0609307,1500m,675m,1000Mi,347Mi,small
1721323188.096916,1500m,675m,1000Mi,347Mi,small
1721323191.1385634,1500m,675m,1000Mi,347Mi,small
1721323194.1784158,1500m,675m,1000Mi,347Mi,small
1721323197.301404,1500m,675m,1000Mi,347Mi,small
1721323200.3458936,1500m,675m,1000Mi,347Mi,small
1721323203.4029253,1500m,675m,1000Mi,347Mi,small
1721323206.4486916,1500m,675m,1000Mi,347Mi,small
