time,cpu_request,cpu_usage,memory_request,memory_usage,model,model_acc,processing_delay(ms)
1721423167.74233,500m,440m,1000Mi,346Mi,small,44.9,814.280033111572
1721423170.78041,500m,440m,1000Mi,346Mi,small,44.9,840.164661407471
1721423173.81708,500m,440m,1000Mi,346Mi,small,44.9,800.868988037109
1721423176.85447,500m,429m,1000Mi,355Mi,small,44.9,885.621786117554
1721423179.97527,500m,429m,1000Mi,355Mi,small,44.9,865.755796432495
1721423183.00998,500m,429m,1000Mi,355Mi,small,44.9,867.259025573731
1721423186.06102,500m,429m,1000Mi,355Mi,small,44.9,873.704671859741
1721423189.09815,500m,429m,1000Mi,355Mi,small,44.9,854.240655899048
1721423192.37997,500m,429m,1000Mi,355Mi,small,44.9,861.335277557373
1721423195.41556,500m,429m,1000Mi,355Mi,small,44.9,870.834589004517
1721423198.45914,500m,429m,1000Mi,355Mi,small,44.9,892.405509948731
1721423201.50524,500m,429m,1000Mi,355Mi,small,44.9,976.889610290527
1721423204.62211,500m,447m,1000Mi,355Mi,small,44.9,851.285219192505
1721423207.77531,500m,447m,1000Mi,355Mi,small,44.9,846.068620681763
1721423210.81593,500m,447m,1000Mi,355Mi,small,44.9,950.096845626831
1721423213.85762,500m,447m,1000Mi,355Mi,small,44.9,910.645484924316
1721423216.97543,500m,447m,1000Mi,355Mi,small,44.9,856.79030418396
1721423220.03028,500m,447m,1000Mi,355Mi,small,44.9,859.558582305908
1721423223.07638,500m,447m,1000Mi,355Mi,small,44.9,872.746706008911
1721423226.12039,500m,447m,1000Mi,355Mi,small,44.9,857.956171035767
1721423229.36456,500m,447m,1000Mi,355Mi,small,44.9,882.511377334595
1721423232.40241,500m,447m,1000Mi,355Mi,small,44.9,886.970281600952
1721423235.46367,500m,404m,1000Mi,355Mi,small,44.9,933.09211730957
1721423238.50283,500m,404m,1000Mi,355Mi,small,44.9,842.332363128662
1721423241.60351,500m,404m,1000Mi,355Mi,small,44.9,936.116933822632
1721423244.64147,500m,404m,1000Mi,355Mi,small,44.9,889.598608016968
1721423247.6803,500m,404m,1000Mi,355Mi,small,44.9,883.410692214966
1721423250.71594,500m,404m,1000Mi,355Mi,small,44.9,841.995239257813
1721423253.75661,500m,404m,1000Mi,355Mi,small,44.9,844.298362731934
1721423256.79372,500m,404m,1000Mi,355Mi,small,44.9,914.967060089111
1721423259.84304,500m,404m,1000Mi,355Mi,small,44.9,825.992822647095
1721423262.88741,500m,404m,1000Mi,355Mi,small,44.9,843.81628036499
1721423265.92784,500m,442m,1000Mi,355Mi,small,44.9,854.901790618897
1721423268.9635,500m,442m,1000Mi,355Mi,small,44.9,874.352931976318
1721423272.00112,500m,442m,1000Mi,355Mi,small,44.9,840.374231338501
1721423275.03606,500m,442m,1000Mi,355Mi,small,44.9,805.124044418335
1721423278.10687,500m,442m,1000Mi,355Mi,small,44.9,892.296552658081
1721423281.14441,500m,442m,1000Mi,355Mi,small,44.9,897.206783294678
1721423284.18016,500m,442m,1000Mi,355Mi,small,44.9,993.078708648682
1721423287.21941,500m,442m,1000Mi,355Mi,small,44.9,892.109394073486
1721423290.3903,500m,442m,1000Mi,355Mi,small,44.9,852.318286895752
1721423293.58805,500m,442m,1000Mi,355Mi,small,44.9,872.273445129395
1721423296.62857,500m,424m,1000Mi,348Mi,small,44.9,847.802639007568
1721423299.67081,500m,424m,1000Mi,348Mi,small,44.9,860.02779006958
1721423302.72566,500m,424m,1000Mi,348Mi,small,44.9,921.5087890625
1721423305.7695,500m,424m,1000Mi,348Mi,small,44.9,888.540983200073
1721423308.80503,500m,424m,1000Mi,348Mi,small,44.9,853.827714920044
1721423311.84757,500m,424m,1000Mi,348Mi,small,44.9,851.433992385864
1721423314.97883,500m,424m,1000Mi,348Mi,small,44.9,861.738443374634
1721423318.02245,500m,424m,1000Mi,348Mi,small,44.9,858.480453491211
1721423321.1246,500m,424m,1000Mi,348Mi,small,44.9,858.985424041748
1721423324.16452,500m,456m,1000Mi,349Mi,small,44.9,842.398881912231
1721423327.21476,500m,456m,1000Mi,349Mi,small,44.9,868.929862976074
1721423330.25982,500m,456m,1000Mi,349Mi,small,44.9,835.283041000366
1721423333.29935,500m,456m,1000Mi,349Mi,small,44.9,855.547428131104
1721423336.44933,500m,456m,1000Mi,349Mi,small,44.9,807.215452194214
1721423339.48891,500m,456m,1000Mi,349Mi,small,44.9,874.874114990234
1721423342.5296,500m,456m,1000Mi,349Mi,small,44.9,850.982427597046
1721423345.58745,500m,456m,1000Mi,349Mi,small,44.9,850.023984909058
1721423348.63526,500m,456m,1000Mi,349Mi,small,44.9,927.752017974854
1721423351.74607,500m,456m,1000Mi,349Mi,small,44.9,894.030570983887
1721423354.78658,500m,437m,1000Mi,349Mi,small,44.9,857.502698898315
1721423357.82053,500m,437m,1000Mi,349Mi,small,44.9,883.14700126648
1721423360.86198,500m,437m,1000Mi,349Mi,small,44.9,898.8196849823
1721423363.94178,500m,437m,1000Mi,349Mi,small,44.9,802.794694900513
1721423366.99431,500m,437m,1000Mi,349Mi,small,44.9,906.041860580444
1721423370.03531,500m,437m,1000Mi,349Mi,small,44.9,893.797874450684
1721423373.0818,500m,437m,1000Mi,349Mi,small,44.9,866.176128387451
1721423376.13624,500m,437m,1000Mi,349Mi,small,44.9,818.35412979126
1721423379.1826,500m,437m,1000Mi,349Mi,small,44.9,855.955362319946
1721423382.27608,500m,437m,1000Mi,349Mi,small,44.9,906.883239746094
1721423385.32159,500m,453m,1000Mi,346Mi,small,44.9,845.422029495239
1721423388.36601,500m,453m,1000Mi,346Mi,small,44.9,857.850074768066
1721423391.40782,500m,453m,1000Mi,346Mi,small,44.9,806.260824203491
1721423394.46389,500m,453m,1000Mi,346Mi,small,44.9,875.253915786743
1721423397.50911,500m,453m,1000Mi,346Mi,small,44.9,868.952512741089
1721423400.55162,500m,453m,1000Mi,346Mi,small,44.9,866.532802581787
