Time,Model Name,File Name,Propagation Delay (s),Processing Delay (ms),E2E Delay (s),location,core,model_acc,ram
1721397124.8031375,large,6.jpg,0.43256688117980957,6723.399877548218,7.183622121810913,belgium,1000,52.9,1000
1721397127.09274,large,6.jpg,0.21791529655456543,2055.4871559143066,2.2887701988220215,belgium,1000,52.9,1000
1721397129.57581,large,6.jpg,0.34842967987060547,2097.4488258361816,2.481055498123169,belgium,1000,52.9,1000
1721397132.0140884,large,6.jpg,0.279477596282959,2135.9965801239014,2.43669056892395,belgium,1000,52.9,1000
1721397134.7326577,large,6.jpg,0.6658976078033447,2028.857707977295,2.7177727222442627,belgium,1000,52.9,1000
1721397137.1550813,large,6.jpg,0.38906168937683105,2004.434585571289,2.4217147827148438,belgium,1000,52.9,1000
1721397139.629366,large,6.jpg,0.3852510452270508,2067.5578117370605,2.4735267162323,belgium,1000,52.9,1000
1721397142.0401938,large,6.jpg,0.3318452835083008,2046.5567111968994,2.4095942974090576,belgium,1000,52.9,1000
1721397144.413756,large,6.jpg,0.31722164154052734,2029.5279026031494,2.372849225997925,belgium,1000,52.9,1000
1721397146.9401424,large,6.jpg,0.36313819885253906,2133.73064994812,2.5257248878479004,belgium,1000,52.9,1000
1721397149.3381288,large,6.jpg,0.33290886878967285,2046.8251705169678,2.397231101989746,belgium,1000,52.9,1000
1721397151.734454,large,6.jpg,0.31360816955566406,2058.1350326538086,2.3956382274627686,belgium,1000,52.9,1000
1721397154.1562662,large,6.jpg,0.2862532138824463,2115.0784492492676,2.4211108684539795,belgium,1000,52.9,1000
1721397156.9615219,large,6.jpg,0.7370197772979736,2043.078899383545,2.804539442062378,belgium,1000,52.9,1000
1721397159.2222784,large,6.jpg,0.15813922882080078,2081.5539360046387,2.2599847316741943,belgium,1000,52.9,1000
1721397161.6523678,large,6.jpg,0.31503939628601074,2094.4831371307373,2.4293861389160156,belgium,1000,52.9,1000
1721397163.8852475,large,6.jpg,0.14396023750305176,2058.86173248291,2.23214054107666,belgium,1000,52.9,1000
1721397166.652856,large,6.jpg,0.7281031608581543,2014.8305892944336,2.7668874263763428,belgium,1000,52.9,1000
1721397169.060886,large,6.jpg,0.3475210666656494,2034.0168476104736,2.4072859287261963,belgium,1000,52.9,1000
1721397171.631598,large,6.jpg,0.51003098487854,2038.0010604858398,2.569261312484741,belgium,1000,52.9,1000
1721397174.2705388,large,6.jpg,0.5423192977905273,2069.438695907593,2.638256788253784,belgium,1000,52.9,1000
1721397176.7674751,large,6.jpg,0.40149617195129395,2076.3485431671143,2.495652675628662,belgium,1000,52.9,1000
1721397179.3396714,large,6.jpg,0.5215563774108887,2025.5355834960938,2.5713272094726562,belgium,1000,52.9,1000
1721397181.628996,large,6.jpg,0.24657750129699707,2022.1774578094482,2.288640022277832,belgium,1000,52.9,1000
1721397184.0120044,large,6.jpg,0.3189823627471924,2037.3249053955078,2.3821818828582764,belgium,1000,52.9,1000
1721397186.4741669,large,6.jpg,0.43582749366760254,2009.6571445465088,2.461139678955078,belgium,1000,52.9,1000
1721397188.8201973,large,6.jpg,0.27241086959838867,2046.2563037872314,2.344947338104248,belgium,1000,52.9,1000
1721397191.0964892,large,6.jpg,0.19188141822814941,2061.145782470703,2.27565860748291,belgium,1000,52.9,1000
1721397193.4831667,large,6.jpg,0.26871633529663086,2082.37886428833,2.3859341144561768,belgium,1000,52.9,1000
1721397195.9127636,large,6.jpg,0.3521742820739746,2045.907735824585,2.4279301166534424,belgium,1000,52.9,1000
1721397198.3031044,large,6.jpg,0.33489012718200684,2032.7136516571045,2.3894083499908447,belgium,1000,52.9,1000
1721397200.764979,large,6.jpg,0.3849525451660156,2043.7819957733154,2.4611759185791016,belgium,1000,52.9,1000
1721397203.332074,large,6.jpg,0.5080816745758057,2039.1318798065186,2.566209077835083,belgium,1000,52.9,1000
1721397205.8091645,large,6.jpg,0.33347487449645996,2116.0013675689697,2.476363182067871,belgium,1000,52.9,1000
1721397217.6156821,large,6.jpg,9.765233039855957,2021.404504776001,11.80580735206604,belgium,1000,52.9,1000
1721397220.0273309,large,6.jpg,0.3161768913269043,2068.5296058654785,2.4109385013580322,belgium,1000,52.9,1000
1721397222.7640262,large,6.jpg,0.565075159072876,2149.4460105895996,2.7359752655029297,belgium,1000,52.9,1000
1721397225.1704116,large,6.jpg,0.3686704635620117,2013.4711265563965,2.40565824508667,belgium,1000,52.9,1000
1721397227.7376218,large,6.jpg,0.535947322845459,2007.1561336517334,2.5665605068206787,belgium,1000,52.9,1000
1721397230.1871548,large,6.jpg,0.3832259178161621,2041.3894653320312,2.448824644088745,belgium,1000,52.9,1000
1721397232.6387167,large,6.jpg,0.34213924407958984,2083.4383964538574,2.450937032699585,belgium,1000,52.9,1000
1721397235.2910562,large,6.jpg,0.6067638397216797,2021.249532699585,2.651008367538452,belgium,1000,52.9,1000
1721397237.729186,large,6.jpg,0.3734095096588135,2038.0287170410156,2.437385320663452,belgium,1000,52.9,1000
1721397240.190298,large,6.jpg,0.4119877815246582,2034.1598987579346,2.4603631496429443,belgium,1000,52.9,1000
1721397242.741242,large,6.jpg,0.4626502990722656,2057.943344116211,2.5499908924102783,belgium,1000,52.9,1000
1721397245.2292957,large,6.jpg,0.47013020515441895,1999.3746280670166,2.4872875213623047,belgium,1000,52.9,1000
1721397247.4787567,large,6.jpg,0.2119288444519043,2012.0084285736084,2.248756170272827,belgium,1000,52.9,1000
1721397249.913232,large,6.jpg,0.3051471710205078,2106.3473224639893,2.4336578845977783,belgium,1000,52.9,1000
1721397252.3457484,large,6.jpg,0.38082051277160645,2020.7808017730713,2.431570291519165,belgium,1000,52.9,1000
1721397254.7793984,large,6.jpg,0.36832165718078613,2050.4019260406494,2.432389736175537,belgium,1000,52.9,1000
1721397257.0998714,large,6.jpg,0.24219942092895508,2054.997444152832,2.319608688354492,belgium,1000,52.9,1000
1721397259.4907475,large,6.jpg,0.33408308029174805,2036.0677242279053,2.3901796340942383,belgium,1000,52.9,1000
1721397261.8744607,large,6.jpg,0.3256833553314209,2034.7864627838135,2.3829872608184814,belgium,1000,52.9,1000
1721397264.3347282,large,6.jpg,0.3952655792236328,2040.740966796875,2.4595673084259033,belgium,1000,52.9,1000
1721397266.7945516,large,6.jpg,0.338209867477417,2103.863477706909,2.459162712097168,belgium,1000,52.9,1000
1721397269.2627518,large,6.jpg,0.3839914798736572,2057.652235031128,2.467496156692505,belgium,1000,52.9,1000
1721397271.5154257,large,6.jpg,0.18043732643127441,2053.2259941101074,2.2520015239715576,belgium,1000,52.9,1000
1721397273.984892,large,6.jpg,0.318206787109375,2128.6044120788574,2.468801975250244,belgium,1000,52.9,1000
1721397276.3638415,large,6.jpg,0.35387349128723145,2005.866527557373,2.3782479763031006,belgium,1000,52.9,1000
1721397278.716033,large,6.jpg,0.28271961212158203,2045.6838607788086,2.3515071868896484,belgium,1000,52.9,1000
1721397281.1216502,large,6.jpg,0.34120893478393555,2041.1746501922607,2.404881238937378,belgium,1000,52.9,1000
1721397283.6589637,large,6.jpg,0.42609357833862305,2088.4125232696533,2.535937547683716,belgium,1000,52.9,1000
1721397286.2804224,large,6.jpg,0.558800220489502,2037.933111190796,2.620715379714966,belgium,1000,52.9,1000
1721397288.685259,large,6.jpg,0.33051252365112305,2042.6037311553955,2.4036905765533447,belgium,1000,52.9,1000
1721397291.073241,large,6.jpg,0.3128988742828369,2050.814628601074,2.386843204498291,belgium,1000,52.9,1000
1721397293.517223,large,6.jpg,0.37674641609191895,2046.6444492340088,2.4427106380462646,belgium,1000,52.9,1000
1721397296.1378934,large,6.jpg,0.46836090087890625,2118.4897422790527,2.619821786880493,belgium,1000,52.9,1000
1721397298.5412428,large,6.jpg,0.32227563858032227,2061.3131523132324,2.4024157524108887,belgium,1000,52.9,1000
1721397300.8702106,large,6.jpg,0.3031477928161621,1999.218463897705,2.327632188796997,belgium,1000,52.9,1000
1721397303.1983428,large,6.jpg,0.20481443405151367,2102.254867553711,2.3274788856506348,belgium,1000,52.9,1000
1721397305.6841397,large,6.jpg,0.4519157409667969,2004.7335624694824,2.485114097595215,belgium,1000,52.9,1000
1721397308.0765946,large,6.jpg,0.32311415672302246,2048.9680767059326,2.3917462825775146,belgium,1000,52.9,1000
1721397310.594,large,6.jpg,0.40486955642700195,2083.179473876953,2.5166878700256348,belgium,1000,52.9,1000
1721397317.1276422,large,6.jpg,4.427378416061401,2083.019256591797,6.532806634902954,belgium,1000,52.9,1000
1721397319.7296834,large,6.jpg,0.5490989685058594,2026.4909267425537,2.60136342048645,belgium,1000,52.9,1000
1721397322.0745084,large,6.jpg,0.2567565441131592,2066.7121410369873,2.3439390659332275,belgium,1000,52.9,1000
1721397324.9344082,large,6.jpg,0.745546817779541,2090.914726257324,2.859220266342163,belgium,1000,52.9,1000
1721397327.3062108,large,6.jpg,0.2557542324066162,2087.7535343170166,2.371040105819702,belgium,1000,52.9,1000
1721397329.8082752,large,6.jpg,0.40070199966430664,2081.5529823303223,2.5013179779052734,belgium,1000,52.9,1000
1721397332.0998943,large,6.jpg,0.17606878280639648,2088.5376930236816,2.2908666133880615,belgium,1000,52.9,1000
1721397334.6394567,large,6.jpg,0.4030609130859375,2116.7707443237305,2.5387799739837646,belgium,1000,52.9,1000
1721397336.9265804,large,6.jpg,0.24748682975769043,2017.618179321289,2.2864151000976562,belgium,1000,52.9,1000
1721397339.6496093,large,6.jpg,0.622481107711792,2076.7316818237305,2.7221457958221436,belgium,1000,52.9,1000
1721397341.9015367,large,6.jpg,0.1451878547668457,2069.669485092163,2.250718355178833,belgium,1000,52.9,1000
1721397344.4165576,large,6.jpg,0.3792712688446045,2114.3763065338135,2.5141971111297607,belgium,1000,52.9,1000
1721397346.826129,large,6.jpg,0.3429396152496338,2043.386459350586,2.408932685852051,belgium,1000,52.9,1000
1721397349.064949,large,6.jpg,0.15059351921081543,2067.5766468048096,2.238018035888672,belgium,1000,52.9,1000
1721397351.414967,large,6.jpg,0.30046868324279785,2020.7369327545166,2.349261999130249,belgium,1000,52.9,1000
1721397353.8069122,large,6.jpg,0.3243529796600342,2050.175666809082,2.391252279281616,belgium,1000,52.9,1000
1721397356.2254174,large,6.jpg,0.2729527950286865,2120.781183242798,2.4174673557281494,belgium,1000,52.9,1000
1721397358.5448644,large,6.jpg,0.2157444953918457,2064.7096633911133,2.3185112476348877,belgium,1000,52.9,1000
1721397360.917993,large,6.jpg,0.3044168949127197,2051.4543056488037,2.37144136428833,belgium,1000,52.9,1000
1721397363.2464395,large,6.jpg,0.21529269218444824,2082.646131515503,2.327666759490967,belgium,1000,52.9,1000
1721397365.610568,large,6.jpg,0.3270692825317383,2017.1425342559814,2.3633337020874023,belgium,1000,52.9,1000
1721397367.9523208,large,6.jpg,0.25577855110168457,2045.9513664245605,2.3409223556518555,belgium,1000,52.9,1000
1721397370.4217727,large,6.jpg,0.381058931350708,2068.8235759735107,2.468334197998047,belgium,1000,52.9,1000
1721397372.9887753,large,6.jpg,0.4858219623565674,2055.7682514190674,2.5659019947052,belgium,1000,52.9,1000
1721397375.4275305,large,6.jpg,0.2916231155395508,2126.9235610961914,2.4375996589660645,belgium,1000,52.9,1000
1721397377.8700235,large,6.jpg,0.38703107833862305,2030.2035808563232,2.4417335987091064,belgium,1000,52.9,1000
1721397380.2440934,large,6.jpg,0.2794461250305176,2067.5361156463623,2.373152017593384,belgium,1000,52.9,1000
