time,cpu_request,cpu_usage,memory_request,memory_usage,model
1721423262.887412,500m,404m,1000Mi,355Mi,small
1721423265.92784,500m,442m,1000Mi,355Mi,small
1721423268.9635022,500m,442m,1000Mi,355Mi,small
1721423272.0011177,500m,442m,1000Mi,355Mi,small
1721423275.0360637,500m,442m,1000Mi,355Mi,small
1721423278.10687,500m,442m,1000Mi,355Mi,small
1721423281.1444135,500m,442m,1000Mi,355Mi,small
1721423284.180157,500m,442m,1000Mi,355Mi,small
1721423287.219407,500m,442m,1000Mi,355Mi,small
1721423290.3902988,500m,442m,1000Mi,355Mi,small
1721423293.5880537,500m,442m,1000Mi,355Mi,small
1721423296.6285655,500m,424m,1000Mi,348Mi,small
1721423299.6708148,500m,424m,1000Mi,348Mi,small
1721423302.7256567,500m,424m,1000Mi,348Mi,small
1721423305.7695048,500m,424m,1000Mi,348Mi,small
1721423308.805031,500m,424m,1000Mi,348Mi,small
1721423311.847568,500m,424m,1000Mi,348Mi,small
1721423314.9788265,500m,424m,1000Mi,348Mi,small
1721423318.0224512,500m,424m,1000Mi,348Mi,small
1721423321.1245966,500m,424m,1000Mi,348Mi,small
1721423324.164518,500m,456m,1000Mi,349Mi,small
1721423327.214764,500m,456m,1000Mi,349Mi,small
1721423330.2598155,500m,456m,1000Mi,349Mi,small
1721423333.299348,500m,456m,1000Mi,349Mi,small
1721423336.449332,500m,456m,1000Mi,349Mi,small
1721423339.488905,500m,456m,1000Mi,349Mi,small
1721423342.5296013,500m,456m,1000Mi,349Mi,small
1721423345.587452,500m,456m,1000Mi,349Mi,small
1721423348.6352568,500m,456m,1000Mi,349Mi,small
1721423351.7460659,500m,456m,1000Mi,349Mi,small
1721423354.7865832,500m,437m,1000Mi,349Mi,small
1721423357.8205254,500m,437m,1000Mi,349Mi,small
1721423360.8619845,500m,437m,1000Mi,349Mi,small
1721423363.9417813,500m,437m,1000Mi,349Mi,small
1721423366.9943113,500m,437m,1000Mi,349Mi,small
1721423370.0353131,500m,437m,1000Mi,349Mi,small
1721423373.0817983,500m,437m,1000Mi,349Mi,small
1721423376.1362448,500m,437m,1000Mi,349Mi,small
1721423379.1825976,500m,437m,1000Mi,349Mi,small
1721423382.2760844,500m,437m,1000Mi,349Mi,small
1721423385.3215888,500m,453m,1000Mi,346Mi,small
1721423388.3660142,500m,453m,1000Mi,346Mi,small
1721423391.4078202,500m,453m,1000Mi,346Mi,small
1721423394.463892,500m,453m,1000Mi,346Mi,small
1721423397.5091057,500m,453m,1000Mi,346Mi,small
1721423400.5516164,500m,453m,1000Mi,346Mi,small
1721423403.592797,500m,453m,1000Mi,346Mi,small
1721423406.63404,500m,453m,1000Mi,346Mi,small
1721423410.7911236,500m,453m,1000Mi,346Mi,small
1721423413.8381493,500m,453m,1000Mi,346Mi,small
1721423416.8788848,500m,441m,1000Mi,347Mi,small
