cpu_request,cpu_usage,memory_request,memory_usage
500m,236m,1000Mi,199Mi
500m,236m,1000Mi,199Mi
500m,236m,1000Mi,199Mi
500m,236m,1000Mi,199Mi
500m,0m,1000Mi,199Mi
500m,0m,1000Mi,199Mi
500m,0m,1000Mi,199Mi
500m,0m,1000Mi,199Mi
500m,0m,1000Mi,199Mi
500m,0m,1000Mi,199Mi
500m,279m,1000Mi,277Mi
500m,279m,1000Mi,277Mi
500m,279m,1000Mi,277Mi
500m,279m,1000Mi,277Mi
500m,279m,1000Mi,277Mi
500m,279m,1000Mi,277Mi
500m,340m,1000Mi,280Mi
500m,340m,1000Mi,280Mi
500m,340m,1000Mi,280Mi
500m,340m,1000Mi,280Mi
500m,340m,1000Mi,280Mi
500m,340m,1000Mi,280Mi
500m,393m,1000Mi,281Mi
500m,393m,1000Mi,281Mi
500m,393m,1000Mi,281Mi
500m,393m,1000Mi,281Mi
500m,393m,1000Mi,281Mi
500m,393m,1000Mi,281Mi
500m,229m,1000Mi,271Mi
