time,cpu_request,cpu_usage,memory_request,memory_usage,model,model_acc,processing_delay(ms)
1721411337.914,500m,377m,1000Mi,299Mi,nano,37.3,380.250215530396
1721411340.96162,500m,377m,1000Mi,299Mi,nano,37.3,359.139442443848
1721411344.00738,500m,377m,1000Mi,299Mi,nano,37.3,351.494550704956
1721411347.05739,500m,377m,1000Mi,299Mi,nano,37.3,371.326208114624
1721411350.15152,500m,377m,1000Mi,299Mi,nano,37.3,413.159370422363
1721411353.19554,500m,377m,1000Mi,299Mi,nano,37.3,388.141870498657
1721411356.24554,500m,368m,1000Mi,298Mi,nano,37.3,303.089618682861
1721411359.29606,500m,368m,1000Mi,298Mi,nano,37.3,347.782850265503
1721411362.34298,500m,368m,1000Mi,298Mi,nano,37.3,406.177759170532
1721411365.45789,500m,368m,1000Mi,298Mi,nano,37.3,365.589141845703
1721411368.49988,500m,368m,1000Mi,298Mi,nano,37.3,402.608871459961
1721411371.54889,500m,368m,1000Mi,298Mi,nano,37.3,362.190008163452
1721411374.58473,500m,368m,1000Mi,298Mi,nano,37.3,410.086870193481
1721411377.62684,500m,368m,1000Mi,298Mi,nano,37.3,358.015537261963
1721411380.67272,500m,368m,1000Mi,298Mi,nano,37.3,360.539674758911
1721411383.72844,500m,368m,1000Mi,298Mi,nano,37.3,355.376243591309
1721411386.77057,500m,314m,1000Mi,294Mi,nano,37.3,364.734172821045
1721411389.81663,500m,314m,1000Mi,294Mi,nano,37.3,377.339363098145
1721411392.85934,500m,314m,1000Mi,294Mi,nano,37.3,364.259004592895
1721411395.97387,500m,314m,1000Mi,294Mi,nano,37.3,355.170726776123
1721411399.01731,500m,314m,1000Mi,294Mi,nano,37.3,360.721588134766
1721411402.06811,500m,314m,1000Mi,294Mi,nano,37.3,303.642272949219
1721411405.10586,500m,314m,1000Mi,294Mi,nano,37.3,353.597164154053
1721411408.14942,500m,314m,1000Mi,294Mi,nano,37.3,344.473838806152
1721411411.27331,500m,314m,1000Mi,294Mi,nano,37.3,348.359823226929
1721411414.31619,500m,194m,1000Mi,289Mi,nano,37.3,355.554819107056
1721411417.36027,500m,194m,1000Mi,289Mi,nano,37.3,314.063549041748
1721411420.40605,500m,194m,1000Mi,289Mi,nano,37.3,368.874549865723
1721411423.44235,500m,194m,1000Mi,289Mi,nano,37.3,416.022777557373
1721411426.48509,500m,194m,1000Mi,289Mi,nano,37.3,397.670984268188
1721411429.56275,500m,194m,1000Mi,289Mi,nano,37.3,404.743909835815
1721411432.67677,500m,194m,1000Mi,289Mi,nano,37.3,380.328178405762
1721411435.71702,500m,194m,1000Mi,289Mi,nano,37.3,296.817779541016
1721411438.75716,500m,194m,1000Mi,289Mi,nano,37.3,358.438491821289
1721411441.81286,500m,194m,1000Mi,289Mi,nano,37.3,365.238666534424
1721411444.86587,500m,345m,1000Mi,282Mi,nano,37.3,352.812767028809
1721411447.90054,500m,345m,1000Mi,282Mi,nano,37.3,390.984296798706
1721411450.94944,500m,345m,1000Mi,282Mi,nano,37.3,349.050998687744
1721411454.08269,500m,345m,1000Mi,282Mi,nano,37.3,321.363687515259
1721411457.1866,500m,345m,1000Mi,282Mi,nano,37.3,355.400085449219
1721411460.22632,500m,345m,1000Mi,282Mi,nano,37.3,423.151969909668
1721411463.26662,500m,345m,1000Mi,282Mi,nano,37.3,363.164663314819
1721411466.32036,500m,345m,1000Mi,282Mi,nano,37.3,406.987905502319
1721411469.38265,500m,345m,1000Mi,282Mi,nano,37.3,357.107400894165
1721411472.42413,500m,345m,1000Mi,282Mi,nano,37.3,361.463308334351
1721411475.4706,500m,283m,1000Mi,281Mi,nano,37.3,399.269819259644
