Time,Model Name,File Name,Propagation Delay (s),Processing Delay (ms),E2E Delay (s),location,core,model_acc,ram
1721411118.2787213,nano,6.jpg,0.6092345714569092,4696.698427200317,5.334612131118774,belgium,500,37.3,1000
1721411118.9228725,nano,6.jpg,0.24693846702575684,369.4291114807129,0.6433641910552979,belgium,500,37.3,1000
1721411119.9507737,nano,6.jpg,0.5682923793792725,427.7811050415039,1.027047872543335,belgium,500,37.3,1000
1721411120.748227,nano,6.jpg,0.377091646194458,391.56150817871094,0.7962417602539062,belgium,500,37.3,1000
1721411121.7478676,nano,6.jpg,0.5692543983459473,401.15809440612793,0.9983046054840088,belgium,500,37.3,1000
1721411122.282318,nano,6.jpg,0.17266225814819336,331.2063217163086,0.533724308013916,belgium,500,37.3,1000
1721411123.218975,nano,6.jpg,0.5507662296295166,362.2431755065918,0.9359018802642822,belgium,500,37.3,1000
1721411123.8260043,nano,6.jpg,0.16231179237365723,417.2046184539795,0.6062753200531006,belgium,500,37.3,1000
1721411124.7539504,nano,6.jpg,0.5646905899047852,348.9797115325928,0.9272599220275879,belgium,500,37.3,1000
1721411125.4280896,nano,6.jpg,0.26148104667663574,385.05005836486816,0.6734604835510254,belgium,500,37.3,1000
1721411126.3173072,nano,6.jpg,0.4484717845916748,419.9497699737549,0.8885154724121094,belgium,500,37.3,1000
1721411127.2003484,nano,6.jpg,0.43746376037597656,423.21062088012695,0.882361888885498,belgium,500,37.3,1000
1721411127.9121757,nano,6.jpg,0.32032036781311035,371.5529441833496,0.7111518383026123,belgium,500,37.3,1000
1721411128.8104482,nano,6.jpg,0.5192978382110596,354.44045066833496,0.8974666595458984,belgium,500,37.3,1000
1721411129.4878728,nano,6.jpg,0.3165605068206787,339.7326469421387,0.6766197681427002,belgium,500,37.3,1000
1721411130.4086497,nano,6.jpg,0.5307402610778809,365.1888370513916,0.9200582504272461,belgium,500,37.3,1000
1721411131.0093458,nano,6.jpg,0.19642329216003418,369.5507049560547,0.5999298095703125,belgium,500,37.3,1000
1721411131.9894185,nano,6.jpg,0.6019201278686523,359.4388961791992,0.9786937236785889,belgium,500,37.3,1000
1721411132.5354342,nano,6.jpg,0.1681373119354248,351.73845291137695,0.545323371887207,belgium,500,37.3,1000
1721411133.5269015,nano,6.jpg,0.5703754425048828,401.0202884674072,0.9907536506652832,belgium,500,37.3,1000
1721411134.2452695,nano,6.jpg,0.2865772247314453,408.1697463989258,0.7176609039306641,belgium,500,37.3,1000
1721411135.1054742,nano,6.jpg,0.44800424575805664,392.0285701751709,0.8594286441802979,belgium,500,37.3,1000
1721411135.7377994,nano,6.jpg,0.24135327339172363,365.15116691589355,0.6316125392913818,belgium,500,37.3,1000
1721411136.6598248,nano,6.jpg,0.5121066570281982,395.2157497406006,0.9212856292724609,belgium,500,37.3,1000
1721411137.6275246,nano,6.jpg,0.5613667964935303,381.21962547302246,0.9669930934906006,belgium,500,37.3,1000
1721411138.2280152,nano,6.jpg,0.16857051849365234,410.95805168151855,0.5997729301452637,belgium,500,37.3,1000
1721411139.1729982,nano,6.jpg,0.5180933475494385,402.36544609069824,0.9442672729492188,belgium,500,37.3,1000
1721411139.7051914,nano,6.jpg,0.1951143741607666,306.4396381378174,0.5314817428588867,belgium,500,37.3,1000
1721411140.6426005,nano,6.jpg,0.5490045547485352,362.8575801849365,0.9366497993469238,belgium,500,37.3,1000
1721411141.2699246,nano,6.jpg,0.20067548751831055,399.23763275146484,0.6265928745269775,belgium,500,37.3,1000
1721411142.365397,nano,6.jpg,0.7641215324401855,308.5520267486572,1.0947794914245605,belgium,500,37.3,1000
1721411142.9568582,nano,6.jpg,0.19488525390625,370.5132007598877,0.5906338691711426,belgium,500,37.3,1000
1721411143.883724,nano,6.jpg,0.5263972282409668,380.04469871520996,0.9261448383331299,belgium,500,37.3,1000
1721411144.3911834,nano,6.jpg,0.12989020347595215,352.10251808166504,0.50673508644104,belgium,500,37.3,1000
1721411145.3952615,nano,6.jpg,0.6202378273010254,364.06898498535156,1.0033979415893555,belgium,500,37.3,1000
1721411146.1147978,nano,6.jpg,0.31795740127563477,375.6885528564453,0.7188253402709961,belgium,500,37.3,1000
1721411146.991365,nano,6.jpg,0.49153614044189453,366.17255210876465,0.8758754730224609,belgium,500,37.3,1000
