time,cpu_request,cpu_usage,memory_request,memory_usage,model,model_acc,processing_delay(ms)
1721414652.21478,1000m,324m,1000Mi,199Mi,nano,37.3,2671.94271087646
1721414655.25927,1000m,0m,1000Mi,199Mi,nano,37.3,197.436094284058
1721414658.30362,1000m,0m,1000Mi,199Mi,nano,37.3,203.3851146698
1721414661.34732,1000m,0m,1000Mi,199Mi,nano,37.3,205.877542495728
1721414664.48259,1000m,0m,1000Mi,199Mi,nano,37.3,200.825452804565
1721414667.52335,1000m,0m,1000Mi,199Mi,nano,37.3,209.781169891357
1721414670.56647,1000m,0m,1000Mi,199Mi,nano,37.3,211.419582366943
1721414673.60763,1000m,0m,1000Mi,199Mi,nano,37.3,203.473806381226
1721414676.65649,1000m,0m,1000Mi,199Mi,nano,37.3,203.388690948486
1721414679.69344,1000m,0m,1000Mi,199Mi,nano,37.3,210.014820098877
1721414682.73556,1000m,0m,1000Mi,199Mi,nano,37.3,208.738803863525
1721414685.78311,1000m,301m,1000Mi,269Mi,nano,37.3,200.759887695312
1721414688.82968,1000m,301m,1000Mi,269Mi,nano,37.3,200.511455535889
1721414691.87457,1000m,301m,1000Mi,269Mi,nano,37.3,249.866485595703
1721414694.91866,1000m,301m,1000Mi,269Mi,nano,37.3,201.361656188965
1721414697.95467,1000m,301m,1000Mi,269Mi,nano,37.3,203.107833862305
1721414701.05269,1000m,301m,1000Mi,269Mi,nano,37.3,223.55842590332
1721414704.09488,1000m,301m,1000Mi,269Mi,nano,37.3,201.632976531982
1721414707.13494,1000m,301m,1000Mi,269Mi,nano,37.3,213.90175819397
1721414710.17945,1000m,301m,1000Mi,269Mi,nano,37.3,196.227073669434
1721414713.22561,1000m,301m,1000Mi,269Mi,nano,37.3,211.564540863037
1721414716.26562,1000m,285m,1000Mi,279Mi,nano,37.3,201.270580291748
1721414719.30784,1000m,285m,1000Mi,279Mi,nano,37.3,209.087610244751
1721414722.34439,1000m,285m,1000Mi,279Mi,nano,37.3,198.315143585205
1721414725.51463,1000m,285m,1000Mi,279Mi,nano,37.3,213.882207870483
1721414728.58091,1000m,285m,1000Mi,279Mi,nano,37.3,216.693162918091
1721414731.62436,1000m,285m,1000Mi,279Mi,nano,37.3,200.984716415405
1721414734.66946,1000m,285m,1000Mi,279Mi,nano,37.3,207.469701766968
