time,cpu_request,cpu_usage,memory_request,memory_usage,model
1721329520.4502914,1500m,827m,1000Mi,442Mi,medium
1721329523.504536,1500m,827m,1000Mi,442Mi,medium
1721329526.5466468,1500m,827m,1000Mi,442Mi,medium
1721329529.5832915,1500m,827m,1000Mi,442Mi,medium
1721329532.6178958,1500m,827m,1000Mi,442Mi,medium
1721329535.7291853,1500m,827m,1000Mi,442Mi,medium
1721329538.7722695,1500m,827m,1000Mi,442Mi,medium
1721329541.8119078,1500m,825m,1000Mi,429Mi,medium
1721329544.858946,1500m,825m,1000Mi,429Mi,medium
1721329548.007916,1500m,825m,1000Mi,429Mi,medium
1721329551.1295073,1500m,825m,1000Mi,429Mi,medium
1721329554.191696,1500m,825m,1000Mi,429Mi,medium
1721329557.2361364,1500m,825m,1000Mi,429Mi,medium
1721329560.2890975,1500m,825m,1000Mi,429Mi,medium
1721329563.3799603,1500m,825m,1000Mi,429Mi,medium
1721329566.6236794,1500m,825m,1000Mi,429Mi,medium
1721329570.6288865,1500m,825m,1000Mi,429Mi,medium
1721329573.6733828,1500m,753m,1000Mi,429Mi,medium
1721329576.715455,1500m,753m,1000Mi,429Mi,medium
1721329579.7847412,1500m,753m,1000Mi,429Mi,medium
1721329582.8518465,1500m,753m,1000Mi,429Mi,medium
1721329585.906034,1500m,753m,1000Mi,429Mi,medium
1721329588.9498775,1500m,753m,1000Mi,429Mi,medium
1721329591.9935107,1500m,753m,1000Mi,429Mi,medium
1721329595.0294423,1500m,753m,1000Mi,429Mi,medium
1721329598.0767868,1500m,753m,1000Mi,429Mi,medium
1721329601.1305847,1500m,626m,1000Mi,439Mi,medium
1721329604.1836321,1500m,626m,1000Mi,439Mi,medium
1721329607.3142269,1500m,626m,1000Mi,439Mi,medium
1721329610.370601,1500m,626m,1000Mi,439Mi,medium
1721329613.4142196,1500m,626m,1000Mi,439Mi,medium
1721329616.4618716,1500m,626m,1000Mi,439Mi,medium
1721329619.5042784,1500m,626m,1000Mi,439Mi,medium
1721329622.9537287,1500m,626m,1000Mi,439Mi,medium
1721329626.0712092,1500m,626m,1000Mi,439Mi,medium
1721329629.1208975,1500m,626m,1000Mi,439Mi,medium
1721329632.1563826,1500m,717m,1000Mi,430Mi,medium
1721329635.2042317,1500m,717m,1000Mi,430Mi,medium
1721329638.2462392,1500m,717m,1000Mi,430Mi,medium
1721329641.297598,1500m,717m,1000Mi,430Mi,medium
1721329644.340502,1500m,717m,1000Mi,430Mi,medium
1721329647.4072173,1500m,717m,1000Mi,430Mi,medium
1721329650.452005,1500m,717m,1000Mi,430Mi,medium
1721329653.4997618,1500m,717m,1000Mi,430Mi,medium
1721329656.537797,1500m,717m,1000Mi,430Mi,medium
1721329659.9229178,1500m,717m,1000Mi,430Mi,medium
1721329662.9595497,1500m,758m,1000Mi,438Mi,medium
1721329666.001067,1500m,758m,1000Mi,438Mi,medium
1721329669.0411584,1500m,758m,1000Mi,438Mi,medium
1721329672.092128,1500m,758m,1000Mi,438Mi,medium
1721329675.1349585,1500m,758m,1000Mi,438Mi,medium
1721329678.1787205,1500m,758m,1000Mi,438Mi,medium
1721329681.3354862,1500m,758m,1000Mi,438Mi,medium
1721329684.3921316,1500m,758m,1000Mi,438Mi,medium
1721329687.43522,1500m,758m,1000Mi,438Mi,medium
1721329690.4787147,1500m,758m,1000Mi,438Mi,medium
1721329693.515266,1500m,805m,1000Mi,429Mi,medium
1721329696.5648165,1500m,805m,1000Mi,429Mi,medium
1721329699.6717918,1500m,805m,1000Mi,429Mi,medium
1721329702.716289,1500m,805m,1000Mi,429Mi,medium
1721329705.7583528,1500m,805m,1000Mi,429Mi,medium
1721329708.80191,1500m,805m,1000Mi,429Mi,medium
1721329711.8413486,1500m,805m,1000Mi,429Mi,medium
1721329714.8816268,1500m,805m,1000Mi,429Mi,medium
1721329717.9234307,1500m,805m,1000Mi,429Mi,medium
1721329720.97538,1500m,854m,1000Mi,429Mi,medium
1721329724.018462,1500m,854m,1000Mi,429Mi,medium
1721329727.0908606,1500m,854m,1000Mi,429Mi,medium
1721329730.1292605,1500m,854m,1000Mi,429Mi,medium
1721329733.1697288,1500m,854m,1000Mi,429Mi,medium
1721329736.2136765,1500m,854m,1000Mi,429Mi,medium
1721329739.2526443,1500m,854m,1000Mi,429Mi,medium
1721329742.2970545,1500m,854m,1000Mi,429Mi,medium
1721329745.3493638,1500m,854m,1000Mi,429Mi,medium
1721329748.3928711,1500m,854m,1000Mi,429Mi,medium
1721329751.4371068,1500m,823m,1000Mi,430Mi,medium
1721329754.4827874,1500m,823m,1000Mi,430Mi,medium
1721329757.5297296,1500m,823m,1000Mi,430Mi,medium
1721329760.5671244,1500m,823m,1000Mi,430Mi,medium
1721329763.6056914,1500m,823m,1000Mi,430Mi,medium
1721329766.650007,1500m,823m,1000Mi,430Mi,medium
1721329769.6973002,1500m,823m,1000Mi,430Mi,medium
1721329773.204972,1500m,823m,1000Mi,430Mi,medium
1721329776.2460337,1500m,823m,1000Mi,430Mi,medium
1721329779.2822707,1500m,823m,1000Mi,430Mi,medium
1721329782.4203596,1500m,823m,1000Mi,429Mi,medium
1721329785.462267,1500m,823m,1000Mi,429Mi,medium
1721329788.5403907,1500m,823m,1000Mi,429Mi,medium
1721329791.6035323,1500m,823m,1000Mi,429Mi,medium
1721329794.6713855,1500m,823m,1000Mi,429Mi,medium
1721329797.73917,1500m,823m,1000Mi,429Mi,medium
1721329800.7884085,1500m,823m,1000Mi,429Mi,medium
1721329803.8628356,1500m,823m,1000Mi,429Mi,medium
1721329806.9323092,1500m,823m,1000Mi,429Mi,medium
1721329810.0239172,1500m,823m,1000Mi,429Mi,medium
1721329813.0944836,1500m,832m,1000Mi,402Mi,medium
1721329816.1581132,1500m,832m,1000Mi,402Mi,medium
1721329819.2550035,1500m,832m,1000Mi,402Mi,medium
1721329822.3196232,1500m,832m,1000Mi,402Mi,medium
1721329825.3880036,1500m,832m,1000Mi,402Mi,medium
1721329828.4538827,1500m,832m,1000Mi,402Mi,medium
1721329831.5226276,1500m,832m,1000Mi,402Mi,medium
1721329834.8595777,1500m,832m,1000Mi,402Mi,medium
1721329837.9201734,1500m,832m,1000Mi,402Mi,medium
1721329841.0122728,1500m,845m,1000Mi,429Mi,medium
1721329844.114866,1500m,845m,1000Mi,429Mi,medium
1721329847.1914992,1500m,845m,1000Mi,429Mi,medium
1721329850.2545624,1500m,845m,1000Mi,429Mi,medium
1721329853.320572,1500m,845m,1000Mi,429Mi,medium
1721329856.3811371,1500m,845m,1000Mi,429Mi,medium
1721329859.4338493,1500m,845m,1000Mi,429Mi,medium
1721329862.4987364,1500m,845m,1000Mi,429Mi,medium
1721329865.5681162,1500m,845m,1000Mi,429Mi,medium
1721329868.6351008,1500m,845m,1000Mi,429Mi,medium
1721329871.7002127,1500m,847m,1000Mi,430Mi,medium
1721329874.764018,1500m,847m,1000Mi,430Mi,medium
1721329877.9179153,1500m,847m,1000Mi,430Mi,medium
1721329881.0134559,1500m,847m,1000Mi,430Mi,medium
1721329884.0690258,1500m,847m,1000Mi,430Mi,medium
1721329887.133756,1500m,847m,1000Mi,430Mi,medium
1721329890.200089,1500m,847m,1000Mi,430Mi,medium
1721329893.2747478,1500m,847m,1000Mi,430Mi,medium
1721329896.3436937,1500m,847m,1000Mi,430Mi,medium
1721329899.418183,1500m,847m,1000Mi,430Mi,medium
1721329902.4748836,1500m,842m,1000Mi,430Mi,medium
1721329905.6075811,1500m,842m,1000Mi,430Mi,medium
1721329908.6753464,1500m,842m,1000Mi,430Mi,medium
1721329911.7457907,1500m,842m,1000Mi,430Mi,medium
1721329914.844995,1500m,842m,1000Mi,430Mi,medium
1721329917.9196682,1500m,842m,1000Mi,430Mi,medium
1721329920.9809456,1500m,842m,1000Mi,430Mi,medium
1721329924.0501108,1500m,842m,1000Mi,430Mi,medium
1721329927.1044056,1500m,842m,1000Mi,430Mi,medium
1721329930.185018,1500m,842m,1000Mi,430Mi,medium
1721329933.2433794,1500m,697m,1000Mi,430Mi,medium
1721329936.3099804,1500m,697m,1000Mi,430Mi,medium
1721329939.593756,1500m,697m,1000Mi,430Mi,medium
1721329942.6549516,1500m,697m,1000Mi,430Mi,medium
1721329945.7210948,1500m,697m,1000Mi,430Mi,medium
1721329948.7886171,1500m,697m,1000Mi,430Mi,medium
1721329951.9096718,1500m,697m,1000Mi,430Mi,medium
1721329955.0261571,1500m,697m,1000Mi,430Mi,medium
1721329958.094642,1500m,697m,1000Mi,430Mi,medium
1721329961.1587765,1500m,824m,1000Mi,430Mi,medium
1721329964.234147,1500m,824m,1000Mi,430Mi,medium
1721329967.3030965,1500m,824m,1000Mi,430Mi,medium
1721329970.3590128,1500m,824m,1000Mi,430Mi,medium
1721329973.678271,1500m,824m,1000Mi,430Mi,medium
1721329976.7471821,1500m,824m,1000Mi,430Mi,medium
1721329979.809953,1500m,824m,1000Mi,430Mi,medium
1721329982.876337,1500m,824m,1000Mi,430Mi,medium
1721329985.9396858,1500m,824m,1000Mi,430Mi,medium
1721329989.011466,1500m,824m,1000Mi,430Mi,medium
1721329992.0731626,1500m,806m,1000Mi,414Mi,medium
1721329995.1283014,1500m,806m,1000Mi,414Mi,medium
1721329998.177663,1500m,806m,1000Mi,414Mi,medium
1721330001.2440038,1500m,806m,1000Mi,414Mi,medium
1721330004.3082645,1500m,806m,1000Mi,414Mi,medium
1721330007.3811877,1500m,806m,1000Mi,414Mi,medium
1721330010.4404016,1500m,806m,1000Mi,414Mi,medium
