time,cpu_request,memory_request,model,model_acc,processing_delay(s)
1731673240.7132378,500.0,500.0,1.0,44.9,5.780959367752075
1731673244.6077514,1000.0,500.0,1.0,44.9,3.4735376834869385
1731673248.9890432,1500.0,500.0,1.0,44.9,4.071333885192871
1731673255.0192957,500.0,500.0,1.0,44.9,5.280628204345703
1731673258.219067,1000.0,500.0,1.0,44.9,2.8940935134887695
1731673261.364171,1500.0,500.0,1.0,44.9,2.8798532485961914
1731673262.5778782,500.0,500.0,1.0,44.9,1.0085039138793945
1731673263.3078964,1000.0,500.0,1.0,44.9,0.4714975357055664
1731673263.932297,1500.0,500.0,1.0,44.9,0.4726901054382324
1731673264.8860724,500.0,500.0,1.0,44.9,0.6524362564086914
1731673265.4293451,1000.0,500.0,1.0,44.9,0.3913233280181885
1731673265.9756927,1500.0,500.0,1.0,44.9,0.40271735191345215
1731673267.4234633,500.0,500.0,1.0,44.9,0.887352466583252
1731673268.1762888,1000.0,500.0,1.0,44.9,0.45052480697631836
1731673268.9626706,1500.0,500.0,1.0,44.9,0.47762560844421387
1731673270.182367,500.0,500.0,1.0,44.9,0.6821150779724121
1731673270.9556892,1000.0,500.0,1.0,44.9,0.38185763359069824
1731673271.5646234,1500.0,500.0,1.0,44.9,0.35239076614379883
1731673272.8870027,500.0,500.0,1.0,44.9,1.0154805183410645
1731673273.5429904,1000.0,500.0,1.0,44.9,0.4961848258972168
1731673274.2026482,1500.0,500.0,1.0,44.9,0.49089527130126953
1731673275.0842528,500.0,500.0,1.0,44.9,0.5868597030639648
1731673275.6170945,1000.0,500.0,1.0,44.9,0.3896028995513916
1731673276.0905535,1500.0,500.0,1.0,44.9,0.3417320251464844
1731673277.6085608,500.0,500.0,1.0,44.9,0.9096736907958984
1731673278.3659487,1000.0,500.0,1.0,44.9,0.4558992385864258
1731673279.2917862,1500.0,500.0,1.0,44.9,0.5146677494049072
1731673280.5967462,500.0,500.0,1.0,44.9,0.6953580379486084
1731673281.3614182,1000.0,500.0,1.0,44.9,0.3936448097229004
1731673282.0634835,1500.0,500.0,1.0,44.9,0.3296020030975342
1731673283.1841471,500.0,500.0,1.0,44.9,0.9297103881835938
1731673283.8290522,1000.0,500.0,1.0,44.9,0.4947366714477539
1731673284.553649,1500.0,500.0,1.0,44.9,0.4772512912750244
1731673285.3787568,500.0,500.0,1.0,44.9,0.6331887245178223
1731673285.9020193,1000.0,500.0,1.0,44.9,0.381988525390625
1731673286.4769883,1500.0,500.0,1.0,44.9,0.33669328689575195
1731673287.906556,500.0,500.0,1.0,44.9,0.9834885597229004
1731673288.6896417,1000.0,500.0,1.0,44.9,0.4873387813568115
1731673289.5625684,1500.0,500.0,1.0,44.9,0.48230910301208496
1731673290.8492684,500.0,500.0,1.0,44.9,0.6875624656677246
1731673291.5535119,1000.0,500.0,1.0,44.9,0.40433573722839355
1731673292.251185,1500.0,500.0,1.0,44.9,0.33556437492370605
1731673293.3074784,500.0,500.0,1.0,44.9,0.9100024700164795
1731673293.9745638,1000.0,500.0,1.0,44.9,0.49892616271972656
1731673294.7048666,1500.0,500.0,1.0,44.9,0.4717695713043213
1731673295.4587789,500.0,500.0,1.0,44.9,0.5732145309448242
1731673296.0898695,1000.0,500.0,1.0,44.9,0.3821287155151367
1731673296.5522833,1500.0,500.0,1.0,44.9,0.3267042636871338
1731673702.1731966,500.0,500.0,0.0,37.3,4.515733480453491
1731673705.084834,1000.0,500.0,0.0,37.3,2.4411747455596924
1731673707.938823,1500.0,500.0,0.0,37.3,2.56369686126709
1731673712.823034,500.0,500.0,0.0,37.3,4.40769624710083
1731673715.564118,1000.0,500.0,0.0,37.3,2.3522567749023438
1731673718.2350094,1500.0,500.0,0.0,37.3,2.373685121536255
1731673718.6887043,500.0,500.0,0.0,37.3,0.2506558895111084
1731673719.1067703,1000.0,500.0,0.0,37.3,0.15023422241210938
1731673719.4370828,1500.0,500.0,0.0,37.3,0.18243765830993652
1731673719.935071,500.0,500.0,0.0,37.3,0.2879066467285156
1731673720.3274996,1000.0,500.0,0.0,37.3,0.1313619613647461
1731673720.6614692,1500.0,500.0,0.0,37.3,0.18154144287109375
1731673721.3822718,500.0,500.0,0.0,37.3,0.2279829978942871
1731673721.9806926,1000.0,500.0,0.0,37.3,0.182114839553833
1731673722.4573748,1500.0,500.0,0.0,37.3,0.18427467346191406
1731673723.2394164,500.0,500.0,0.0,37.3,0.33574867248535156
1731673723.762686,1000.0,500.0,0.0,37.3,0.1307060718536377
1731673724.2995133,1500.0,500.0,0.0,37.3,0.16192317008972168
1731673724.806785,500.0,500.0,0.0,37.3,0.2523384094238281
1731673725.1045647,1000.0,500.0,0.0,37.3,0.15858817100524902
1731673725.4354157,1500.0,500.0,0.0,37.3,0.18393421173095703
1731673726.04404,500.0,500.0,0.0,37.3,0.28778791427612305
1731673726.3122878,1000.0,500.0,0.0,37.3,0.1283109188079834
1731673726.6180487,1500.0,500.0,0.0,37.3,0.16737866401672363
1731673727.418444,500.0,500.0,0.0,37.3,0.24201583862304688
1731673727.9294431,1000.0,500.0,0.0,37.3,0.15970873832702637
1731673728.3997111,1500.0,500.0,0.0,37.3,0.18488168716430664
1731673729.275796,500.0,500.0,0.0,37.3,0.3125765323638916
1731673729.693056,1000.0,500.0,0.0,37.3,0.13420391082763672
1731673730.2421365,1500.0,500.0,0.0,37.3,0.14601516723632812
1731673730.660723,500.0,500.0,0.0,37.3,0.23105597496032715
1731673730.966079,1000.0,500.0,0.0,37.3,0.1484379768371582
1731673731.410478,1500.0,500.0,0.0,37.3,0.17966628074645996
1731673731.9086182,500.0,500.0,0.0,37.3,0.29851412773132324
1731673732.2107708,1000.0,500.0,0.0,37.3,0.15096473693847656
1731673732.619599,1500.0,500.0,0.0,37.3,0.14857769012451172
1731673733.5741167,500.0,500.0,0.0,37.3,0.3261876106262207
1731673734.0944393,1000.0,500.0,0.0,37.3,0.1577293872833252
1731673734.5720487,1500.0,500.0,0.0,37.3,0.18444299697875977
1731673735.498835,500.0,500.0,0.0,37.3,0.33212804794311523
1731673735.9410443,1000.0,500.0,0.0,37.3,0.13777637481689453
1731673736.4478912,1500.0,500.0,0.0,37.3,0.15823006629943848
1731673736.989415,500.0,500.0,0.0,37.3,0.24050188064575195
1731673737.2994912,1000.0,500.0,0.0,37.3,0.16710186004638672
1731673737.756084,1500.0,500.0,0.0,37.3,0.1862809658050537
1731673738.2471902,500.0,500.0,0.0,37.3,0.33547377586364746
1731673738.539745,1000.0,500.0,0.0,37.3,0.15262627601623535
1731673738.9403396,1500.0,500.0,0.0,37.3,0.1543903350830078
1731673739.6904056,500.0,500.0,0.0,37.3,0.31290268898010254
1731673740.1299968,1000.0,500.0,0.0,37.3,0.15616631507873535
1731673740.7103004,1500.0,500.0,0.0,37.3,0.18727922439575195
1731673741.5029066,500.0,500.0,0.0,37.3,0.31330204010009766
1731673742.070293,1000.0,500.0,0.0,37.3,0.17759943008422852
1731673742.7124348,1500.0,500.0,0.0,37.3,0.16553139686584473
1731673743.1045573,500.0,500.0,0.0,37.3,0.24236083030700684
1731673743.39166,1000.0,500.0,0.0,37.3,0.1522386074066162
1731673743.8490212,1500.0,500.0,0.0,37.3,0.1859118938446045
1731673744.3493533,500.0,500.0,0.0,37.3,0.3435389995574951
1731673744.6187334,1000.0,500.0,0.0,37.3,0.13704752922058105
1731673745.0011678,1500.0,500.0,0.0,37.3,0.1481003761291504
1731673745.8818386,500.0,500.0,0.0,37.3,0.26111531257629395
1731673746.5196238,1000.0,500.0,0.0,37.3,0.17037034034729004
1731673746.982056,1500.0,500.0,0.0,37.3,0.18719005584716797
1731673747.7335315,500.0,500.0,0.0,37.3,0.3200955390930176
1731673748.3615682,1000.0,500.0,0.0,37.3,0.17559337615966797
1731673748.8794107,1500.0,500.0,0.0,37.3,0.16752338409423828
1731673749.8632996,500.0,500.0,0.0,37.3,0.2143080234527588
1731673750.1680171,1000.0,500.0,0.0,37.3,0.1644763946533203
1731673750.502081,1500.0,500.0,0.0,37.3,0.18838095664978027
1731673751.307916,500.0,500.0,0.0,37.3,0.3150928020477295
1731673751.7161615,1000.0,500.0,0.0,37.3,0.16381502151489258
1731673752.1515877,1500.0,500.0,0.0,37.3,0.150435209274292
1731673752.5701885,500.0,500.0,0.0,37.3,0.23705101013183594
1731673753.1336195,1000.0,500.0,0.0,37.3,0.15927481651306152
1731673753.5972772,1500.0,500.0,0.0,37.3,0.182204008102417
1731673754.1222486,500.0,500.0,0.0,37.3,0.32010483741760254
1731673754.634246,1000.0,500.0,0.0,37.3,0.13379263877868652
1731673754.9326658,1500.0,500.0,0.0,37.3,0.16213154792785645
1731673755.7860827,500.0,500.0,0.0,37.3,0.24867868423461914
1731673756.0840945,1000.0,500.0,0.0,37.3,0.16184067726135254
1731673756.4351301,1500.0,500.0,0.0,37.3,0.18278121948242188
1731673757.3232832,500.0,500.0,0.0,37.3,0.2865900993347168
1731673757.8082118,1000.0,500.0,0.0,37.3,0.13070988655090332
