time,cpu_request,memory_request,model,model_acc,processing_delay(s)
1731677297.1839132,500.0,500.0,1.0,44.9,5.847495079040527
1731677300.0546842,1000.0,500.0,1.0,44.9,2.58681583404541
1731677303.3391478,1500.0,500.0,1.0,44.9,2.8428473472595215
1731677308.8756838,500.0,500.0,1.0,44.9,5.031800031661987
1731677312.090077,1000.0,500.0,1.0,44.9,2.935265064239502
1731677315.431867,1500.0,500.0,1.0,44.9,2.965052604675293
1731677316.5897357,500.0,500.0,1.0,44.9,0.9544875621795654
1731677317.14976,1000.0,500.0,1.0,44.9,0.3385138511657715
1731677317.630555,1500.0,500.0,1.0,44.9,0.3412656784057617
1731677318.6710105,500.0,500.0,1.0,44.9,0.8394482135772705
1731677319.2909803,1000.0,500.0,1.0,44.9,0.38032054901123047
1731677319.8421247,1500.0,500.0,1.0,44.9,0.39974284172058105
1731677321.2953637,500.0,500.0,1.0,44.9,0.9510138034820557
1731677321.9837275,1000.0,500.0,1.0,44.9,0.3348250389099121
1731677322.6934943,1500.0,500.0,1.0,44.9,0.36516594886779785
1731677323.9059618,500.0,500.0,1.0,44.9,0.7759695053100586
1731677324.6639009,1000.0,500.0,1.0,44.9,0.37031126022338867
1731677325.3411038,1500.0,500.0,1.0,44.9,0.3949751853942871
1731677326.611942,500.0,500.0,1.0,44.9,0.973919153213501
1731677327.1120381,1000.0,500.0,1.0,44.9,0.36792826652526855
1731677327.6139987,1500.0,500.0,1.0,44.9,0.36051154136657715
1731677328.6884425,500.0,500.0,1.0,44.9,0.7827441692352295
1731677329.1795304,1000.0,500.0,1.0,44.9,0.3548293113708496
1731677329.7076936,1500.0,500.0,1.0,44.9,0.39679622650146484
1731677331.2870884,500.0,500.0,1.0,44.9,0.9864859580993652
1731677331.8899982,1000.0,500.0,1.0,44.9,0.33753108978271484
1731677332.5488055,1500.0,500.0,1.0,44.9,0.3292098045349121
1731677333.947673,500.0,500.0,1.0,44.9,0.8263931274414062
1731677334.587511,1000.0,500.0,1.0,44.9,0.37432289123535156
1731677335.3516736,1500.0,500.0,1.0,44.9,0.3932328224182129
1731677336.4941378,500.0,500.0,1.0,44.9,0.9385776519775391
1731677336.9880328,1000.0,500.0,1.0,44.9,0.3667604923248291
