time,cpu_request,memory_request,model,model_acc,processing_delay(s)
1731419330.2708333,500.0,500.0,0.0,37.3,4.298893213272095
1731419334.0552213,1000.0,500.0,1.0,44.9,3.211177349090576
1731419337.0337882,1500.0,500.0,1.0,44.9,2.6038928031921387
1731419341.9224508,500.0,500.0,0.0,37.3,4.28838038444519
1731419346.0397549,1000.0,500.0,1.0,44.9,3.428407907485962
1731419349.6074507,1500.0,500.0,1.0,44.9,3.0439741611480713
1731419350.536266,500.0,500.0,0.0,37.3,0.4173581600189209
1731419351.5650265,1000.0,500.0,1.0,44.9,0.45902085304260254
1731419352.1986043,1500.0,500.0,1.0,44.9,0.4161972999572754
1731419353.0232453,500.0,500.0,0.0,37.3,0.4179871082305908
1731419353.8236992,1000.0,500.0,1.0,44.9,0.4870181083679199
1731419354.5271232,1500.0,500.0,1.0,44.9,0.421053409576416
1731419355.7942717,500.0,500.0,0.0,37.3,0.39589881896972656
1731419356.6835718,1000.0,500.0,1.0,44.9,0.4382312297821045
1731419357.4944239,1500.0,500.0,1.0,44.9,0.40773677825927734
1731419358.4870856,500.0,500.0,0.0,37.3,0.3536407947540283
1731419359.4464877,1000.0,500.0,1.0,44.9,0.4957284927368164
1731419360.3524003,1500.0,500.0,1.0,44.9,0.4356377124786377
1731419361.1020286,500.0,500.0,0.0,37.3,0.3758370876312256
1731419361.9128554,1000.0,500.0,1.0,44.9,0.4320666790008545
1731419362.5414927,1500.0,500.0,1.0,44.9,0.3446075916290283
1731419363.2392156,500.0,500.0,0.0,37.3,0.3750951290130615
1731419364.0636053,1000.0,500.0,1.0,44.9,0.49794697761535645
1731419364.9538412,1500.0,500.0,1.0,44.9,0.42667436599731445
1731419365.9537857,500.0,500.0,0.0,37.3,0.2888953685760498
1731419366.8334548,1000.0,500.0,1.0,44.9,0.43203163146972656
1731419367.7265546,1500.0,500.0,1.0,44.9,0.42508959770202637
1731419368.7641377,500.0,500.0,0.0,37.3,0.32876038551330566
1731419369.5772421,1000.0,500.0,1.0,44.9,0.49066925048828125
1731419370.4970515,1500.0,500.0,1.0,44.9,0.43005967140197754
1731419371.2194376,500.0,500.0,0.0,37.3,0.3438289165496826
1731419372.0185075,1000.0,500.0,1.0,44.9,0.4389989376068115
1731419372.540347,1500.0,500.0,1.0,44.9,0.34598541259765625
1731419373.330652,500.0,500.0,0.0,37.3,0.3921520709991455
1731419374.2431226,1000.0,500.0,1.0,44.9,0.5109603404998779
1731419375.1135216,1500.0,500.0,1.0,44.9,0.4450380802154541
1731419376.3624148,500.0,500.0,0.0,37.3,0.3515911102294922
1731419377.2378716,1000.0,500.0,1.0,44.9,0.43638014793395996
1731419377.9610286,1500.0,500.0,1.0,44.9,0.40431666374206543
1731419379.101744,500.0,500.0,0.0,37.3,0.370133638381958
1731419380.0483181,1000.0,500.0,1.0,44.9,0.48968052864074707
1731419381.0459847,1500.0,500.0,1.0,44.9,0.4357626438140869
1731419381.7073882,500.0,500.0,0.0,37.3,0.2961616516113281
1731419382.4983335,1000.0,500.0,1.0,44.9,0.44202733039855957
1731419383.1470144,1500.0,500.0,1.0,44.9,0.3634018898010254
1731419383.7223434,500.0,500.0,0.0,37.3,0.3085038661956787
1731419384.6038983,1000.0,500.0,1.0,44.9,0.48963427543640137
1731419385.3497434,1500.0,500.0,1.0,44.9,0.43898773193359375
1731419596.9093504,500.0,500.0,0.0,37.3,0.35071372985839844
1731419597.746752,1000.0,500.0,1.0,44.9,0.4728047847747803
1731419598.424371,1500.0,500.0,1.0,44.9,0.3557863235473633
1731419599.5000181,500.0,500.0,0.0,37.3,0.402224063873291
1731419603.0825448,1000.0,500.0,1.0,44.9,3.0514044761657715
1731419604.0788922,1500.0,500.0,1.0,44.9,0.4549384117126465
1731419604.6994593,500.0,500.0,0.0,37.3,0.35843849182128906
1731419605.4309332,1000.0,500.0,1.0,44.9,0.4276123046875
1731419606.176863,1500.0,500.0,1.0,44.9,0.3830270767211914
1731419606.7827597,500.0,500.0,0.0,37.3,0.373140811920166
1731419607.366128,1000.0,500.0,1.0,44.9,0.4009878635406494
1731419608.3948,1500.0,500.0,1.0,44.9,0.43769025802612305
1731419609.52004,500.0,500.0,0.0,37.3,0.36496686935424805
1731419610.7505255,1000.0,500.0,1.0,44.9,0.43039417266845703
1731419611.825384,1500.0,500.0,1.0,44.9,0.3984565734863281
1731419613.6115088,500.0,500.0,0.0,37.3,0.31011152267456055
1731419615.2458177,1000.0,500.0,1.0,44.9,0.3956630229949951
1731419616.285407,1500.0,500.0,1.0,44.9,0.4306771755218506
1731419617.182664,500.0,500.0,0.0,37.3,0.33484363555908203
1731419617.9482183,1000.0,500.0,1.0,44.9,0.434511661529541
1731419618.6268086,1500.0,500.0,1.0,44.9,0.3478124141693115
1731419619.3016462,500.0,500.0,0.0,37.3,0.33986377716064453
1731419620.094438,1000.0,500.0,1.0,44.9,0.40382981300354004
1731419620.880919,1500.0,500.0,1.0,44.9,0.4376657009124756
1731419621.509087,500.0,500.0,0.0,37.3,0.27746105194091797
1731419622.423271,1000.0,500.0,1.0,44.9,0.44223451614379883
1731419623.3444653,1500.0,500.0,1.0,44.9,0.4900014400482178
1731419624.2591317,500.0,500.0,0.0,37.3,0.3090088367462158
1731419625.180254,1000.0,500.0,1.0,44.9,0.41472530364990234
1731419626.2423785,1500.0,500.0,1.0,44.9,0.43109583854675293
1731419628.3281806,500.0,500.0,0.0,37.3,0.306943416595459
1731419629.3030374,1000.0,500.0,1.0,44.9,0.445997953414917
1731419630.0910451,1500.0,500.0,1.0,44.9,0.383197546005249
1731419631.3184087,500.0,500.0,0.0,37.3,0.45209527015686035
1731419632.0443377,1000.0,500.0,1.0,44.9,0.40156078338623047
1731419632.857382,1500.0,500.0,1.0,44.9,0.4272315502166748
1731419633.472539,500.0,500.0,0.0,37.3,0.3010978698730469
1731419634.4777186,1000.0,500.0,1.0,44.9,0.43874287605285645
1731419635.1331131,1500.0,500.0,1.0,44.9,0.37341737747192383
1731419635.8166845,500.0,500.0,0.0,37.3,0.39694738388061523
1731419636.6480064,1000.0,500.0,1.0,44.9,0.4007909297943115
1731419637.3495097,1500.0,500.0,1.0,44.9,0.435344934463501
1731419638.621072,500.0,500.0,0.0,37.3,0.3683485984802246
1731419639.5289934,1000.0,500.0,1.0,44.9,0.4290308952331543
1731419640.5600498,1500.0,500.0,1.0,44.9,0.342071533203125
1731419641.4831948,500.0,500.0,0.0,37.3,0.3641641139984131
1731419642.472233,1000.0,500.0,1.0,44.9,0.39653539657592773
1731419643.293395,1500.0,500.0,1.0,44.9,0.42671704292297363
1731419643.8990095,500.0,500.0,0.0,37.3,0.3448958396911621
1731419644.6535418,1000.0,500.0,1.0,44.9,0.4308342933654785
1731419645.23135,1500.0,500.0,1.0,44.9,0.34548377990722656
1731419645.853054,500.0,500.0,0.0,37.3,0.3337256908416748
1731419646.85519,1000.0,500.0,1.0,44.9,0.3979158401489258
1731419647.4863768,1500.0,500.0,1.0,44.9,0.430375337600708
1731419648.3717537,500.0,500.0,0.0,37.3,0.33593153953552246
1731419649.2561796,1000.0,500.0,1.0,44.9,0.4363975524902344
1731419650.0523107,1500.0,500.0,1.0,44.9,0.346285343170166
1731419651.1046588,500.0,500.0,0.0,37.3,0.35935330390930176
1731419651.7012115,1000.0,500.0,1.0,44.9,0.40200018882751465
1731419652.5316885,1500.0,500.0,1.0,44.9,0.44602251052856445
1731419653.131489,500.0,500.0,0.0,37.3,0.31818294525146484
1731419654.1783638,1000.0,500.0,1.0,44.9,0.43991518020629883
1731419654.751854,1500.0,500.0,1.0,44.9,0.3833608627319336
1731419655.3749287,500.0,500.0,0.0,37.3,0.38236546516418457
1731419656.32807,1000.0,500.0,1.0,44.9,0.40556907653808594
1731419657.5246625,1500.0,500.0,1.0,44.9,0.4366269111633301
1731419671.2863922,500.0,500.0,0.0,37.3,0.35495662689208984
1731419672.195873,1000.0,500.0,1.0,44.9,0.4475274085998535
1731419673.1952653,1500.0,500.0,1.0,44.9,0.3520534038543701
1731419674.443817,500.0,500.0,0.0,37.3,0.43451356887817383
1731419675.3786764,1000.0,500.0,1.0,44.9,0.4230232238769531
1731419676.2530825,1500.0,500.0,1.0,44.9,0.4481925964355469
1731419676.920183,500.0,500.0,0.0,37.3,0.33780884742736816
1731419677.7991052,1000.0,500.0,1.0,44.9,0.43740057945251465
1731419678.360377,1500.0,500.0,1.0,44.9,0.37169981002807617
1731419679.052112,500.0,500.0,0.0,37.3,0.37816333770751953
1731419679.8263013,1000.0,500.0,1.0,44.9,0.3980836868286133
1731419680.463944,1500.0,500.0,1.0,44.9,0.4346017837524414
1731419681.3915243,500.0,500.0,0.0,37.3,0.282642126083374
1731419682.5357044,1000.0,500.0,1.0,44.9,0.4355654716491699
1731419683.2256544,1500.0,500.0,1.0,44.9,0.37262725830078125
1731419684.1537719,500.0,500.0,0.0,37.3,0.33539485931396484
1731419685.2224653,1000.0,500.0,1.0,44.9,0.39928340911865234
1731419686.0272746,1500.0,500.0,1.0,44.9,0.4307539463043213
1731419686.660395,500.0,500.0,0.0,37.3,0.2805168628692627
1731419687.425582,1000.0,500.0,1.0,44.9,0.4281587600708008
1731419687.9877625,1500.0,500.0,1.0,44.9,0.3356766700744629
1731419688.7963498,500.0,500.0,0.0,37.3,0.3441758155822754
