time,cpu_request,memory_request,model,model_acc,processing_delay(s)
5.0,1731410570.8200557,1500.0,500.0,1.0,44.9,0.42433929443359375
0.0,1731410571.4846976,500.0,500.0,0.0,37.3,0.3292381763458252
1.0,1731410572.1897638,1000.0,500.0,1.0,44.9,0.3955399990081787
2.0,1731410572.5620322,1500.0,500.0,0.0,37.3,0.17249155044555664
3.0,1731410573.2421572,500.0,500.0,0.0,37.3,0.35980725288391113
4.0,1731410573.873152,1000.0,500.0,1.0,44.9,0.43286919593811035
5.0,1731410574.4821012,1500.0,500.0,1.0,44.9,0.41956400871276855
0.0,1731410575.5106728,500.0,500.0,0.0,37.3,0.3544027805328369
1.0,1731410576.3081946,1000.0,500.0,1.0,44.9,0.39815473556518555
2.0,1731410576.7824337,1500.0,500.0,0.0,37.3,0.16379141807556152
3.0,1731410578.0438333,500.0,500.0,0.0,37.3,0.3458080291748047
4.0,1731410578.9129968,1000.0,500.0,1.0,44.9,0.43021655082702637
5.0,1731410579.7898324,1500.0,500.0,1.0,44.9,0.42203450202941895
0.0,1731410580.3884747,500.0,500.0,0.0,37.3,0.34732508659362793
1.0,1731410580.9902055,1000.0,500.0,1.0,44.9,0.39156436920166016
2.0,1731410581.4580777,1500.0,500.0,0.0,37.3,0.17720580101013184
3.0,1731410582.038204,500.0,500.0,0.0,37.3,0.35984373092651367
4.0,1731410582.8329043,1000.0,500.0,1.0,44.9,0.42441654205322266
5.0,1731410583.5852919,1500.0,500.0,1.0,44.9,0.4123570919036865
0.0,1731410584.5090196,500.0,500.0,0.0,37.3,0.3477606773376465
1.0,1731410585.4086711,1000.0,500.0,1.0,44.9,0.40756654739379883
2.0,1731410586.1495512,1500.0,500.0,0.0,37.3,0.16621136665344238
3.0,1731410587.055704,500.0,500.0,0.0,37.3,0.36995744705200195
4.0,1731410587.7739775,1000.0,500.0,1.0,44.9,0.42579221725463867
5.0,1731410588.682722,1500.0,500.0,1.0,44.9,0.41267848014831543
0.0,1731410589.3185098,500.0,500.0,0.0,37.3,0.35134339332580566
1.0,1731410590.038745,1000.0,500.0,1.0,44.9,0.39620375633239746
2.0,1731410590.4597363,1500.0,500.0,0.0,37.3,0.17154431343078613
3.0,1731410591.1027184,500.0,500.0,0.0,37.3,0.3480660915374756
4.0,1731410592.0581832,1000.0,500.0,1.0,44.9,0.430037260055542
5.0,1731410592.7587504,1500.0,500.0,1.0,44.9,0.4158189296722412
0.0,1731410593.9154327,500.0,500.0,0.0,37.3,0.29785609245300293
1.0,1731410594.846719,1000.0,500.0,1.0,44.9,0.4055767059326172
2.0,1731410595.4067047,1500.0,500.0,0.0,37.3,0.15148448944091797
3.0,1731410596.3932934,500.0,500.0,0.0,37.3,0.3550875186920166
4.0,1731410597.2008462,1000.0,500.0,1.0,44.9,0.43111729621887207
5.0,1731410598.086931,1500.0,500.0,1.0,44.9,0.4184601306915283
0.0,1731410598.713152,500.0,500.0,0.0,37.3,0.410463809967041
1.0,1731410599.3741271,1000.0,500.0,1.0,44.9,0.39486241340637207
2.0,1731410599.8729045,1500.0,500.0,0.0,37.3,0.14603614807128906
3.0,1731410600.580084,500.0,500.0,0.0,37.3,0.35884523391723633
4.0,1731410601.3799314,1000.0,500.0,1.0,44.9,0.43279480934143066
5.0,1731410602.1855874,1500.0,500.0,1.0,44.9,0.42230772972106934
0.0,1731410603.2298257,500.0,500.0,0.0,37.3,0.3444478511810303
1.0,1731410604.0601602,1000.0,500.0,1.0,44.9,0.40164852142333984
2.0,1731410604.7614315,1500.0,500.0,0.0,37.3,0.1640152931213379
3.0,1731410605.7135682,500.0,500.0,0.0,37.3,0.3454902172088623
4.0,1731410606.7490962,1000.0,500.0,1.0,44.9,0.42849206924438477
5.0,1731410607.530248,1500.0,500.0,1.0,44.9,0.41358184814453125
0.0,1731410608.4332757,500.0,500.0,0.0,37.3,0.3216564655303955
1.0,1731410609.5246177,1000.0,500.0,1.0,44.9,0.3961524963378906
2.0,1731410610.0229201,1500.0,500.0,0.0,37.3,0.17355132102966309
3.0,1731410610.9339359,500.0,500.0,0.0,37.3,0.31994152069091797
4.0,1731410611.85786,1000.0,500.0,1.0,44.9,0.427349328994751
5.0,1731410612.772748,1500.0,500.0,1.0,44.9,0.4124619960784912
0.0,1731410613.3903422,500.0,500.0,0.0,37.3,0.3514525890350342
1.0,1731410614.1877658,1000.0,500.0,1.0,44.9,0.39745330810546875
2.0,1731410614.8001988,1500.0,500.0,0.0,37.3,0.14966773986816406
3.0,1731410615.4185514,500.0,500.0,0.0,37.3,0.3468315601348877
4.0,1731410616.3425808,1000.0,500.0,1.0,44.9,0.43037986755371094
5.0,1731410617.1538684,1500.0,500.0,1.0,44.9,0.41924595832824707
0.0,1731410618.1708076,500.0,500.0,0.0,37.3,0.30097246170043945
1.0,1731410618.9512005,1000.0,500.0,1.0,44.9,0.3957035541534424
2.0,1731410619.6419303,1500.0,500.0,0.0,37.3,0.18175363540649414
3.0,1731410620.884928,500.0,500.0,0.0,37.3,0.3157978057861328
4.0,1731410621.673652,1000.0,500.0,1.0,44.9,0.4293675422668457
5.0,1731410622.5853648,1500.0,500.0,1.0,44.9,0.43073558807373047
0.0,1731410623.4374452,500.0,500.0,0.0,37.3,0.3535807132720947
1.0,1731410624.1744263,1000.0,500.0,1.0,44.9,0.3987720012664795
2.0,1731410624.5253704,1500.0,500.0,0.0,37.3,0.15472173690795898
3.0,1731410625.299309,500.0,500.0,0.0,37.3,0.3286581039428711
4.0,1731410625.9619658,1000.0,500.0,1.0,44.9,0.4324469566345215
5.0,1731410626.5580983,1500.0,500.0,1.0,44.9,0.3981354236602783
