time,cpu_request,cpu_usage,memory_request,memory_usage,model,model_acc,processing_delay(ms)
1721418070.85062,1500m,508m,1000Mi,280Mi,nano,37.3,208.34755897522
1721418073.89342,1500m,508m,1000Mi,280Mi,nano,37.3,200.973033905029
1721418077.22922,1500m,629m,1000Mi,285Mi,nano,37.3,208.848714828491
1721418080.27544,1500m,629m,1000Mi,285Mi,nano,37.3,212.801456451416
1721418083.32483,1500m,629m,1000Mi,285Mi,nano,37.3,199.687242507935
1721418086.38255,1500m,629m,1000Mi,285Mi,nano,37.3,204.447269439697
1721418089.42331,1500m,629m,1000Mi,285Mi,nano,37.3,217.582941055298
1721418092.49348,1500m,629m,1000Mi,285Mi,nano,37.3,207.834005355835
1721418095.53326,1500m,629m,1000Mi,285Mi,nano,37.3,190.248966217041
1721418098.57489,1500m,629m,1000Mi,285Mi,nano,37.3,200.483083724976
1721418101.62382,1500m,629m,1000Mi,285Mi,nano,37.3,203.525304794312
1721418104.66803,1500m,296m,1000Mi,277Mi,nano,37.3,204.191207885742
1721418107.70734,1500m,296m,1000Mi,277Mi,nano,37.3,204.388618469238
1721418110.74437,1500m,296m,1000Mi,277Mi,nano,37.3,208.176612854004
1721418113.78589,1500m,296m,1000Mi,277Mi,nano,37.3,204.860687255859
1721418116.83462,1500m,296m,1000Mi,277Mi,nano,37.3,207.184553146362
1721418119.88071,1500m,296m,1000Mi,277Mi,nano,37.3,199.795007705688
1721418122.92413,1500m,296m,1000Mi,277Mi,nano,37.3,199.263334274292
1721418125.96608,1500m,296m,1000Mi,277Mi,nano,37.3,203.82833480835
1721418129.01986,1500m,296m,1000Mi,277Mi,nano,37.3,203.540802001953
1721418132.06327,1500m,296m,1000Mi,277Mi,nano,37.3,207.626819610596
1721418135.10722,1500m,328m,1000Mi,271Mi,nano,37.3,207.949161529541
1721418138.15239,1500m,328m,1000Mi,271Mi,nano,37.3,203.590631484985
1721418141.2007,1500m,328m,1000Mi,271Mi,nano,37.3,207.769155502319
1721418144.3968,1500m,328m,1000Mi,271Mi,nano,37.3,199.73349571228
1721418147.44676,1500m,328m,1000Mi,271Mi,nano,37.3,216.329336166382
1721418150.49106,1500m,328m,1000Mi,271Mi,nano,37.3,186.723947525024
1721418153.5358,1500m,328m,1000Mi,271Mi,nano,37.3,202.81982421875
1721418156.5785,1500m,328m,1000Mi,271Mi,nano,37.3,215.759992599487
1721418159.61976,1500m,328m,1000Mi,271Mi,nano,37.3,197.620630264282
1721418162.66159,1500m,328m,1000Mi,271Mi,nano,37.3,203.495502471924
1721418165.75721,1500m,331m,1000Mi,282Mi,nano,37.3,203.940629959106
1721418168.79853,1500m,331m,1000Mi,282Mi,nano,37.3,201.062202453613
1721418171.84487,1500m,331m,1000Mi,282Mi,nano,37.3,208.196401596069
1721418174.88317,1500m,331m,1000Mi,282Mi,nano,37.3,207.574605941772
