Time,Model Name,File Name,Propagation Delay (s),Processing Delay (ms),E2E Delay (s),location,core,model_acc,ram
1721327344.68091,medium,6.jpg,0.6684045791625977,4173.9842891693115,4.871005535125732,belgium,1000,50.2,1000
1721327346.0342171,medium,6.jpg,0.24203014373779297,1095.1027870178223,1.3525238037109375,belgium,1000,50.2,1000
1721327347.455792,medium,6.jpg,0.34552741050720215,1050.5313873291016,1.4208369255065918,belgium,1000,50.2,1000
1721327355.1392586,medium,6.jpg,6.606553554534912,1056.9021701812744,7.68264102935791,belgium,1000,50.2,1000
1721327356.6759262,medium,6.jpg,0.44570302963256836,1067.917823791504,1.5359413623809814,belgium,1000,50.2,1000
1721327358.0885544,medium,6.jpg,0.34026575088500977,1044.3534851074219,1.411996841430664,belgium,1000,50.2,1000
1721327359.4654915,medium,6.jpg,0.3151204586029053,1041.217565536499,1.3761510848999023,belgium,1000,50.2,1000
1721327360.9265375,medium,6.jpg,0.370377779006958,1065.260648727417,1.4603161811828613,belgium,1000,50.2,1000
1721327362.3176663,medium,6.jpg,0.3251070976257324,1041.5191650390625,1.3904409408569336,belgium,1000,50.2,1000
1721327363.7633355,medium,6.jpg,0.3480501174926758,1064.7554397583008,1.444483995437622,belgium,1000,50.2,1000
1721327364.9960759,medium,6.jpg,0.15358805656433105,1060.3156089782715,1.232053518295288,belgium,1000,50.2,1000
1721327366.36325,medium,6.jpg,0.30382251739501953,1037.665843963623,1.366462230682373,belgium,1000,50.2,1000
1721327367.7592592,medium,6.jpg,0.23566365242004395,1138.4544372558594,1.3952014446258545,belgium,1000,50.2,1000
1721327369.3127854,medium,6.jpg,0.48519277572631836,1044.5327758789062,1.5528218746185303,belgium,1000,50.2,1000
1721327370.7784588,medium,6.jpg,0.34385156631469727,1103.7211418151855,1.4649670124053955,belgium,1000,50.2,1000
1721327372.2080283,medium,6.jpg,0.3387620449066162,1067.439317703247,1.4288966655731201,belgium,1000,50.2,1000
1721327373.4659452,medium,6.jpg,0.15739130973815918,1072.7858543395996,1.2571747303009033,belgium,1000,50.2,1000
1721327374.9211826,medium,6.jpg,0.35811591148376465,1076.8866539001465,1.4545924663543701,belgium,1000,50.2,1000
1721327376.1793704,medium,6.jpg,0.17987656593322754,1054.1455745697021,1.25748610496521,belgium,1000,50.2,1000
1721327384.5516946,medium,6.jpg,7.294257879257202,1053.2276630401611,8.371664762496948,belgium,1000,50.2,1000
1721327385.877367,medium,6.jpg,0.20197534561157227,1090.8677577972412,1.3249115943908691,belgium,1000,50.2,1000
1721327387.3577678,medium,6.jpg,0.39302921295166016,1064.3844604492188,1.4796905517578125,belgium,1000,50.2,1000
1721327388.7080615,medium,6.jpg,0.2862718105316162,1042.2782897949219,1.3496055603027344,belgium,1000,50.2,1000
1721327390.831245,medium,6.jpg,1.0478956699371338,1045.0677871704102,2.122501850128174,belgium,1000,50.2,1000
1721327392.4232712,medium,6.jpg,0.49002718925476074,1078.787088394165,1.5913667678833008,belgium,1000,50.2,1000
1721327393.8186831,medium,6.jpg,0.3115108013153076,1064.1553401947021,1.394775152206421,belgium,1000,50.2,1000
1721327395.2205412,medium,6.jpg,0.3204178810119629,1054.2583465576172,1.401214361190796,belgium,1000,50.2,1000
1721327396.9212842,medium,6.jpg,0.6359331607818604,1045.3276634216309,1.700110673904419,belgium,1000,50.2,1000
1721327398.4093273,medium,6.jpg,0.31302332878112793,1147.7694511413574,1.4871420860290527,belgium,1000,50.2,1000
1721327399.8834155,medium,6.jpg,0.3894162178039551,1049.6041774749756,1.4733431339263916,belgium,1000,50.2,1000
1721327401.3542418,medium,6.jpg,0.3811171054840088,1065.20414352417,1.4695501327514648,belgium,1000,50.2,1000
1721327402.702724,medium,6.jpg,0.23427057266235352,1073.9846229553223,1.3475275039672852,belgium,1000,50.2,1000
1721327404.1757739,medium,6.jpg,0.3753981590270996,1069.7433948516846,1.4706783294677734,belgium,1000,50.2,1000
1721327406.3255432,medium,6.jpg,1.0426127910614014,1075.669765472412,2.148499011993408,belgium,1000,50.2,1000
1721327407.9504097,medium,6.jpg,0.5516443252563477,1051.0621070861816,1.624119520187378,belgium,1000,50.2,1000
1721327409.3629725,medium,6.jpg,0.29401087760925293,1092.0329093933105,1.4116363525390625,belgium,1000,50.2,1000
1721327411.0100236,medium,6.jpg,0.5677211284637451,1052.8130531311035,1.6463451385498047,belgium,1000,50.2,1000
1721327412.2951207,medium,6.jpg,0.21418428421020508,1046.0338592529297,1.2833704948425293,belgium,1000,50.2,1000
1721327413.7674668,medium,6.jpg,0.39240241050720215,1060.997724533081,1.471677303314209,belgium,1000,50.2,1000
1721327415.249409,medium,6.jpg,0.38755369186401367,1073.5907554626465,1.4812712669372559,belgium,1000,50.2,1000
1721327416.91988,medium,6.jpg,0.6085219383239746,1039.9205684661865,1.6694881916046143,belgium,1000,50.2,1000
