time,cpu_request,cpu_usage,memory_request,memory_usage,model
1721324695.477636,500m,457m,1000Mi,436Mi,medium
1721324698.5276592,500m,457m,1000Mi,436Mi,medium
1721324701.5748892,500m,457m,1000Mi,436Mi,medium
1721324704.6256957,500m,457m,1000Mi,436Mi,medium
1721324707.6673195,500m,457m,1000Mi,436Mi,medium
1721324710.7731314,500m,450m,1000Mi,430Mi,medium
1721324713.8151617,500m,450m,1000Mi,430Mi,medium
1721324716.879041,500m,450m,1000Mi,430Mi,medium
1721324719.9465108,500m,450m,1000Mi,430Mi,medium
1721324723.0043318,500m,450m,1000Mi,430Mi,medium
1721324726.1041336,500m,450m,1000Mi,430Mi,medium
1721324729.179382,500m,450m,1000Mi,430Mi,medium
1721324732.222862,500m,450m,1000Mi,430Mi,medium
1721324735.272602,500m,450m,1000Mi,430Mi,medium
1721324738.314472,500m,450m,1000Mi,430Mi,medium
1721324741.3625216,500m,463m,1000Mi,436Mi,medium
1721324744.4033985,500m,463m,1000Mi,436Mi,medium
1721324747.45395,500m,463m,1000Mi,436Mi,medium
1721324750.49428,500m,463m,1000Mi,436Mi,medium
1721324753.5425014,500m,463m,1000Mi,436Mi,medium
1721324756.5892441,500m,463m,1000Mi,436Mi,medium
1721324759.6992462,500m,463m,1000Mi,436Mi,medium
1721324762.746024,500m,463m,1000Mi,436Mi,medium
1721324765.7956088,500m,463m,1000Mi,436Mi,medium
1721324768.8335543,500m,463m,1000Mi,436Mi,medium
1721324771.8872497,500m,360m,1000Mi,436Mi,medium
1721324774.9321272,500m,360m,1000Mi,436Mi,medium
1721324777.9710581,500m,360m,1000Mi,436Mi,medium
1721324781.0139687,500m,360m,1000Mi,436Mi,medium
1721324784.0989869,500m,360m,1000Mi,436Mi,medium
1721324787.1437926,500m,360m,1000Mi,436Mi,medium
1721324790.1867113,500m,360m,1000Mi,436Mi,medium
1721324793.2342663,500m,360m,1000Mi,436Mi,medium
1721324796.2829258,500m,360m,1000Mi,436Mi,medium
1721324799.3288558,500m,360m,1000Mi,436Mi,medium
1721324802.3748894,500m,458m,1000Mi,436Mi,medium
1721324805.4186513,500m,458m,1000Mi,436Mi,medium
1721324808.4684718,500m,458m,1000Mi,436Mi,medium
1721324811.5118742,500m,458m,1000Mi,436Mi,medium
1721324814.555018,500m,458m,1000Mi,436Mi,medium
